loan_id,app_id,disbursed_date,customer_id,product_key,channel,partner_id,principal,tenor_months,annual_rate,monthly_installment
LN00000092,APP00000157,2024-01-08,SH0000840,credit_card_loan,telesales,,1400000,6,0.2566,251000
LN00000093,APP00000158,2024-01-08,SH0002095,cash_loan,dsa,,6400000,14,0.3821,574000
LN00000094,APP00000161,2024-01-07,SH0002706,cash_loan,pos_partner,PTR023,5000000,28,0.3542,265000
LN00000095,APP00000162,2024-01-10,SH0002761,two_wheeler_loan,pos_partner,PTR023,33200000,14,0.259,2773000
LN00000096,APP00000164,2024-01-08,SH0000225,cash_loan,digital_app,,31100000,32,0.3571,1520000
LN00000097,APP00000165,2024-01-11,SH0002890,cash_loan,dsa,,70100000,28,0.4078,3920000
LN00000098,APP00000166,2024-01-10,SH0003039,cd_installment,pos_partner,PTR001,28300000,13,0.3299,2619000
LN00000099,APP00000167,2024-01-08,SH0000578,cd_installment,pos_partner,PTR014,7500000,11,0.3468,806000
LN00000100,APP00000168,2024-01-12,SH0002840,cash_loan,dsa,,21500000,11,0.289,2248000
LN00000101,APP00000169,2024-01-10,SH0003973,cash_loan,telesales,,9300000,25,0.3679,538000
LN00000102,APP00000170,2024-01-12,SH0000650,cash_loan,dsa,,29400000,35,0.3061,1280000
LN00000103,APP00000171,2024-01-12,SH0000221,cash_loan,telesales,,5200000,19,0.3135,351000
LN00000104,APP00000173,2024-01-11,SH0000097,cash_loan,digital_app,,16000000,19,0.2813,1053000
LN00000105,APP00000174,2024-01-09,SH0000236,cash_loan,telesales,,9600000,10,0.2873,1091000
LN00000106,APP00000175,2024-01-09,SH0003776,cash_loan,pos_partner,PTR023,15600000,11,0.2801,1624000
LN00000107,APP00000176,2024-01-11,SH0001507,two_wheeler_loan,pos_partner,PTR015,13800000,14,0.2071,1118000
LN00000108,APP00000177,2024-01-12,SH0002083,two_wheeler_loan,pos_partner,PTR015,50200000,20,0.1858,2938000
LN00000109,APP00000179,2024-01-10,SH0002518,cash_loan,digital_app,,16500000,10,0.369,1942000
LN00000110,APP00000180,2024-01-11,SH0000097,cash_loan,telesales,,114700000,31,0.3289,5539000
LN00000111,APP00000183,2024-01-11,SH0001904,cash_loan,dsa,,33800000,34,0.3077,1502000
LN00000112,APP00000184,2024-01-10,SH0002439,two_wheeler_loan,pos_partner,PTR023,9500000,26,0.2724,488000
LN00000113,APP00000185,2024-01-12,SH0002918,two_wheeler_loan,dsa,,33900000,28,0.2716,1648000
LN00000114,APP00000186,2024-01-11,SH0002724,credit_card_loan,digital_app,,3600000,5,0.2866,772000
LN00000115,APP00000187,2024-01-11,SH0003888,cash_loan,digital_app,,107400000,18,0.3254,7620000
LN00000116,APP00000190,2024-01-13,SH0000533,cd_installment,pos_partner,PTR001,4000000,9,0.3071,503000
LN00000117,APP00000192,2024-01-09,SH0001212,cd_installment,pos_partner,PTR018,3000000,21,0.2254,174000
LN00000118,APP00000198,2024-01-13,SH0003306,cash_loan,digital_app,,41200000,20,0.3015,2646000
LN00000119,APP00000200,2024-01-13,SH0003093,cash_loan,digital_app,,60200000,19,0.3888,4293000
LN00000120,APP00000201,2024-01-12,SH0003035,cd_installment,dsa,,9500000,8,0.3368,1342000
LN00000121,APP00000202,2024-01-11,SH0000848,credit_card_loan,digital_app,,7300000,12,0.303,713000
LN00000122,APP00000203,2024-01-12,SH0000259,credit_card_loan,telesales,,4300000,12,0.3538,431000
LN00000123,APP00000204,2024-01-13,SH0002347,cd_installment,pos_partner,PTR014,5500000,15,0.2997,444000
LN00000124,APP00000205,2024-01-12,SH0001004,two_wheeler_loan,pos_partner,PTR023,52800000,27,0.2544,2588000
LN00000125,APP00000207,2024-01-15,SH0001094,credit_card_loan,digital_app,,5200000,6,0.3759,964000
LN00000126,APP00000208,2024-01-13,SH0003985,cash_loan,digital_app,,10700000,19,0.3477,740000
LN00000127,APP00000211,2024-01-10,SH0003914,cd_installment,pos_partner,PTR024,2100000,12,0.3481,210000
LN00000128,APP00000212,2024-01-11,SH0003267,cash_loan,digital_app,,145700000,29,0.3596,7590000
LN00000129,APP00000216,2024-01-14,SH0003265,cd_installment,pos_partner,PTR020,12000000,16,0.2983,918000
LN00000130,APP00000218,2024-01-11,SH0001528,two_wheeler_loan,pos_partner,PTR015,25900000,11,0.198,2594000
LN00000131,APP00000219,2024-01-12,SH0003188,cd_installment,pos_partner,PTR021,1900000,17,0.3208,141000
LN00000132,APP00000220,2024-01-12,SH0002368,cash_loan,digital_app,,24500000,34,0.3324,1122000
LN00000133,APP00000222,2024-01-14,SH0001433,cd_installment,pos_partner,PTR001,7600000,13,0.2143,660000
LN00000134,APP00000223,2024-01-11,SH0000006,cash_loan,digital_app,,29100000,33,0.3275,1349000
LN00000135,APP00000225,2024-01-13,SH0002897,cash_loan,dsa,,41000000,36,0.3984,1969000
LN00000136,APP00000226,2024-01-15,SH0003975,two_wheeler_loan,dsa,,31200000,25,0.2015,1539000
LN00000137,APP00000228,2024-01-13,SH0001236,cd_installment,pos_partner,PTR011,44100000,20,0.2497,2718000
LN00000138,APP00000231,2024-01-12,SH0002344,cd_installment,pos_partner,PTR006,2600000,11,0.2289,264000
LN00000139,APP00000232,2024-01-11,SH0002021,two_wheeler_loan,dsa,,52800000,31,0.2752,2398000
LN00000140,APP00000233,2024-01-16,SH0003336,cash_loan,digital_app,,81700000,11,0.323,8680000
LN00000141,APP00000234,2024-01-12,SH0002988,cash_loan,digital_app,,44900000,22,0.313,2708000
LN00000142,APP00000235,2024-01-14,SH0000823,cash_loan,digital_app,,22000000,18,0.3734,1615000
LN00000143,APP00000242,2024-01-16,SH0001205,cash_loan,telesales,,268500000,10,0.3779,31716000
LN00000144,APP00000243,2024-01-16,SH0003881,two_wheeler_loan,pos_partner,PTR023,14500000,30,0.2132,628000
LN00000145,APP00000244,2024-01-13,SH0000555,cash_loan,digital_app,,48900000,25,0.3994,2912000
LN00000146,APP00000246,2024-01-13,SH0003422,cash_loan,dsa,,9000000,34,0.3789,436000
LN00000147,APP00000247,2024-01-12,SH0000248,cash_loan,digital_app,,225400000,17,0.3529,17038000
LN00000148,APP00000249,2024-01-12,SH0002901,two_wheeler_loan,pos_partner,PTR017,8100000,36,0.2067,304000
LN00000149,APP00000250,2024-01-13,SH0003243,cash_loan,dsa,,75200000,31,0.3097,3554000
LN00000150,APP00000252,2024-01-13,SH0003072,credit_card_loan,telesales,,6400000,8,0.2565,879000
LN00000151,APP00000253,2024-01-14,SH0003675,credit_card_loan,digital_app,,2700000,3,0.3567,954000
LN00000152,APP00000254,2024-01-13,SH0001634,cash_loan,dsa,,4800000,22,0.3917,309000
LN00000153,APP00000255,2024-01-16,SH0000065,two_wheeler_loan,pos_partner,PTR023,17800000,28,0.1852,788000
LN00000154,APP00000256,2024-01-14,SH0003865,two_wheeler_loan,pos_partner,PTR023,11600000,8,0.2751,1604000
LN00000155,APP00000257,2024-01-11,SH0000885,credit_card_loan,digital_app,,20500000,4,0.3409,5494000
LN00000156,APP00000259,2024-01-13,SH0001637,cd_installment,pos_partner,PTR009,1900000,18,0.2584,128000
LN00000157,APP00000260,2024-01-11,SH0001352,cash_loan,dsa,,100800000,36,0.3061,4313000
LN00000158,APP00000261,2024-01-13,SH0000067,cash_loan,pos_partner,PTR015,85700000,17,0.4192,6770000
LN00000159,APP00000262,2024-01-13,SH0002123,cash_loan,digital_app,,9200000,10,0.2968,1050000
LN00000160,APP00000263,2024-01-15,SH0002621,cd_installment,pos_partner,PTR008,2200000,18,0.2628,149000
LN00000161,APP00000265,2024-01-13,SH0001184,cash_loan,digital_app,,162600000,28,0.3827,8867000
LN00000162,APP00000268,2024-01-15,SH0002845,two_wheeler_loan,dsa,,31300000,32,0.2717,1385000
LN00000163,APP00000269,2024-01-15,SH0003888,cash_loan,digital_app,,35600000,18,0.3841,2633000
LN00000164,APP00000270,2024-01-14,SH0000509,cd_installment,pos_partner,PTR024,2100000,6,0.3404,386000
LN00000165,APP00000271,2024-01-13,SH0000433,two_wheeler_loan,pos_partner,PTR010,26900000,21,0.2082,1539000
LN00000166,APP00000273,2024-01-12,SH0001436,cd_installment,dsa,,6300000,12,0.2853,610000
LN00000167,APP00000275,2024-01-11,SH0001757,credit_card_loan,digital_app,,1800000,10,0.3234,208000
LN00000168,APP00000276,2024-01-12,SH0001732,cash_loan,dsa,,154100000,32,0.3301,7304000
LN00000169,APP00000278,2024-01-11,SH0002974,cash_loan,digital_app,,14900000,16,0.3561,1183000
LN00000170,APP00000279,2024-01-14,SH0003601,credit_card_loan,digital_app,,6400000,12,0.309,627000
LN00000171,APP00000280,2024-01-12,SH0003683,cash_loan,digital_app,,37000000,32,0.395,1887000
LN00000172,APP00000281,2024-01-16,SH0000637,two_wheeler_loan,pos_partner,PTR016,10800000,28,0.2353,505000
LN00000173,APP00000282,2024-01-13,SH0001400,cash_loan,dsa,,159300000,28,0.3177,8128000
LN00000174,APP00000283,2024-01-14,SH0000205,cash_loan,digital_app,,60300000,36,0.3382,2688000
LN00000175,APP00000284,2024-01-13,SH0000234,cd_installment,pos_partner,PTR009,2900000,12,0.2241,272000
LN00000176,APP00000287,2024-01-14,SH0001516,cash_loan,digital_app,,86800000,36,0.3734,4042000
LN00000177,APP00000288,2024-01-12,SH0001642,cash_loan,digital_app,,56600000,13,0.3472,5286000
LN00000178,APP00000294,2024-01-14,SH0001114,cd_installment,pos_partner,PTR021,3000000,10,0.2613,337000
LN00000179,APP00000295,2024-01-15,SH0003627,cash_loan,digital_app,,12200000,32,0.3784,611000
LN00000180,APP00000296,2024-01-13,SH0002135,credit_card_loan,dsa,,31800000,4,0.2854,8428000
LN00000181,APP00000297,2024-01-14,SH0003331,two_wheeler_loan,dsa,,33000000,35,0.2658,1365000
LN00000182,APP00000298,2024-01-14,SH0002829,cash_loan,digital_app,,36000000,20,0.2883,2288000
LN00000183,APP00000300,2024-01-13,SH0002937,cash_loan,telesales,,17700000,30,0.335,879000
LN00000184,APP00000301,2024-01-13,SH0002858,cd_installment,dsa,,2300000,24,0.2129,119000
LN00000185,APP00000302,2024-01-15,SH0001373,two_wheeler_loan,pos_partner,PTR017,14400000,27,0.2066,671000
LN00000186,APP00000303,2024-01-14,SH0000968,credit_card_loan,digital_app,,26800000,4,0.3786,7237000
LN00000187,APP00000304,2024-01-15,SH0000597,cd_installment,digital_app,,25100000,21,0.3302,1590000
LN00000188,APP00000305,2024-01-14,SH0001284,credit_card_loan,digital_app,,2800000,9,0.338,357000
LN00000189,APP00000306,2024-01-16,SH0003688,cd_installment,pos_partner,PTR009,6100000,21,0.2809,371000
LN00000190,APP00000309,2024-01-13,SH0001368,cash_loan,pos_partner,PTR024,131400000,15,0.3708,11079000
LN00000191,APP00000310,2024-01-14,SH0000411,cash_loan,dsa,,124700000,23,0.3252,7357000
LN00000192,APP00000311,2024-01-14,SH0000187,two_wheeler_loan,pos_partner,PTR010,60900000,16,0.214,4409000
LN00000193,APP00000312,2024-01-13,SH0002742,cash_loan,telesales,,61900000,26,0.4088,3627000
LN00000194,APP00000313,2024-01-14,SH0001523,cash_loan,digital_app,,5000000,11,0.3178,530000
LN00000195,APP00000314,2024-01-15,SH0002648,two_wheeler_loan,pos_partner,PTR023,30700000,36,0.2499,1220000
LN00000196,APP00000315,2024-01-12,SH0001977,cd_installment,pos_partner,PTR005,23100000,6,0.3212,4219000
LN00000197,APP00000316,2024-01-14,SH0000160,cash_loan,digital_app,,221700000,7,0.3328,35281000
LN00000198,APP00000317,2024-01-13,SH0002518,cash_loan,digital_app,,11600000,12,0.3514,1160000
LN00000199,APP00000318,2024-01-16,SH0000638,cd_installment,pos_partner,PTR009,30400000,19,0.2743,1990000
LN00000200,APP00000319,2024-01-13,SH0003364,cd_installment,digital_app,,5200000,12,0.2785,501000
LN00000201,APP00000320,2024-01-13,SH0003553,credit_card_loan,digital_app,,11200000,10,0.2802,1269000
LN00000202,APP00000322,2024-01-14,SH0003198,cd_installment,pos_partner,PTR002,1800000,23,0.2655,101000
LN00000203,APP00000325,2024-01-15,SH0000606,cd_installment,pos_partner,PTR005,31100000,15,0.3345,2565000
LN00000204,APP00000326,2024-01-14,SH0002987,cd_installment,pos_partner,PTR001,1800000,24,0.3476,105000
LN00000205,APP00000327,2024-01-13,SH0000355,credit_card_loan,digital_app,,2600000,3,0.3038,911000
LN00000206,APP00000328,2024-01-15,SH0002842,cash_loan,telesales,,70700000,25,0.3076,3865000
LN00000207,APP00000332,2024-01-16,SH0000846,cash_loan,telesales,,4700000,34,0.328,214000
LN00000208,APP00000333,2024-01-13,SH0003130,two_wheeler_loan,dsa,,9900000,19,0.2524,637000
LN00000209,APP00000336,2024-01-15,SH0000182,credit_card_loan,telesales,,2600000,10,0.2954,296000
LN00000210,APP00000338,2024-01-13,SH0001684,two_wheeler_loan,digital_app,,28400000,29,0.2597,1329000
LN00000211,APP00000339,2024-01-15,SH0001531,cash_loan,digital_app,,166800000,7,0.3711,26866000
LN00000212,APP00000343,2024-01-12,SH0003511,cash_loan,telesales,,11500000,10,0.3914,1366000
LN00000213,APP00000345,2024-01-13,SH0001208,two_wheeler_loan,pos_partner,PTR016,57000000,25,0.206,2823000
LN00000214,APP00000346,2024-01-16,SH0003347,credit_card_loan,dsa,,11700000,3,0.3295,4116000
LN00000215,APP00000347,2024-01-17,SH0002356,two_wheeler_loan,dsa,,18200000,34,0.2621,764000
LN00000216,APP00000348,2024-01-13,SH0001301,cash_loan,dsa,,89400000,21,0.3145,5590000
LN00000217,APP00000350,2024-01-16,SH0003105,cash_loan,dsa,,123600000,13,0.2831,11151000
LN00000218,APP00000352,2024-01-14,SH0003741,cash_loan,digital_app,,5800000,7,0.3281,922000
LN00000219,APP00000353,2024-01-15,SH0000608,cash_loan,digital_app,,41000000,34,0.3163,1841000
LN00000220,APP00000354,2024-01-15,SH0001741,cd_installment,pos_partner,PTR001,1900000,8,0.3215,267000
LN00000221,APP00000355,2024-01-16,SH0001569,cash_loan,dsa,,3900000,21,0.3985,261000
LN00000222,APP00000356,2024-01-16,SH0002667,credit_card_loan,telesales,,12900000,9,0.3139,1627000
LN00000223,APP00000358,2024-01-17,SH0003198,credit_card_loan,digital_app,,2400000,4,0.3214,641000
LN00000224,APP00000361,2024-01-17,SH0003297,cash_loan,telesales,,21800000,33,0.2935,970000
LN00000225,APP00000363,2024-01-14,SH0001936,cash_loan,digital_app,,212600000,8,0.3135,29793000
LN00000226,APP00000365,2024-01-12,SH0001661,cd_installment,pos_partner,PTR021,2700000,11,0.3025,284000
LN00000227,APP00000366,2024-01-16,SH0002704,credit_card_loan,digital_app,,1200000,4,0.2719,317000
LN00000228,APP00000368,2024-01-14,SH0002813,two_wheeler_loan,pos_partner,PTR010,41200000,26,0.2552,2079000
LN00000229,APP00000369,2024-01-13,SH0002113,cd_installment,digital_app,,3700000,9,0.2425,454000
LN00000230,APP00000370,2024-01-13,SH0001185,cash_loan,pos_partner,PTR010,7700000,11,0.3118,814000
LN00000231,APP00000372,2024-01-18,SH0002344,credit_card_loan,pos_partner,PTR004,1000000,9,0.3224,127000
LN00000232,APP00000373,2024-01-14,SH0002892,credit_card_loan,digital_app,,2400000,6,0.311,437000
LN00000233,APP00000375,2024-01-15,SH0001288,cd_installment,pos_partner,PTR018,3000000,17,0.3132,221000
LN00000234,APP00000378,2024-01-15,SH0003998,cd_installment,pos_partner,PTR009,11300000,9,0.2164,1371000
LN00000235,APP00000382,2024-01-16,SH0003015,two_wheeler_loan,pos_partner,PTR015,42600000,14,0.2051,3447000
LN00000236,APP00000383,2024-01-13,SH0001995,credit_card_loan,digital_app,,2500000,3,0.3601,884000
LN00000237,APP00000385,2024-01-14,SH0002525,credit_card_loan,digital_app,,13300000,12,0.3068,1301000
LN00000238,APP00000386,2024-01-15,SH0003927,cash_loan,dsa,,37500000,7,0.3483,5997000
LN00000239,APP00000389,2024-01-15,SH0003580,cash_loan,telesales,,10300000,9,0.3836,1335000
LN00000240,APP00000390,2024-01-17,SH0002311,two_wheeler_loan,pos_partner,PTR017,22200000,9,0.1883,2664000
LN00000241,APP00000391,2024-01-16,SH0003668,cash_loan,digital_app,,6500000,13,0.3924,622000
LN00000242,APP00000392,2024-01-19,SH0002415,cd_installment,pos_partner,PTR002,35900000,20,0.2094,2142000
LN00000243,APP00000394,2024-01-17,SH0002587,cash_loan,dsa,,210500000,11,0.324,22374000
LN00000244,APP00000397,2024-01-16,SH0001886,cd_installment,pos_partner,PTR001,2900000,7,0.2034,443000
LN00000245,APP00000398,2024-01-17,SH0003755,cd_installment,pos_partner,PTR018,5100000,13,0.3206,470000
LN00000246,APP00000399,2024-01-16,SH0003697,credit_card_loan,dsa,,12000000,8,0.3607,1710000
LN00000247,APP00000400,2024-01-16,SH0000508,cd_installment,pos_partner,PTR009,2000000,23,0.2294,108000
LN00000248,APP00000401,2024-01-14,SH0002401,two_wheeler_loan,pos_partner,PTR023,9900000,7,0.1853,1503000
LN00000249,APP00000403,2024-01-13,SH0000732,credit_card_loan,telesales,,2500000,6,0.3053,455000
LN00000250,APP00000404,2024-01-16,SH0003562,credit_card_loan,digital_app,,17600000,11,0.2695,1824000
LN00000251,APP00000405,2024-01-17,SH0002781,cash_loan,dsa,,8600000,6,0.4101,1610000
LN00000252,APP00000406,2024-01-18,SH0001324,credit_card_loan,telesales,,1300000,9,0.3324,165000
LN00000253,APP00000409,2024-01-17,SH0001396,cash_loan,digital_app,,57700000,33,0.3146,2634000
LN00000254,APP00000410,2024-01-16,SH0002866,cd_installment,pos_partner,PTR009,5700000,6,0.2152,1011000
LN00000255,APP00000411,2024-01-16,SH0000501,cash_loan,pos_partner,PTR013,26600000,30,0.3352,1321000
LN00000256,APP00000412,2024-01-19,SH0003883,cd_installment,pos_partner,PTR022,15900000,19,0.3028,1064000
LN00000257,APP00000414,2024-01-16,SH0002231,cash_loan,dsa,,60900000,25,0.4145,3677000
