customer_id,segment,province,income_band,risk_grade,birth_year,gender
SH0000101,mass,Bac Ninh,over_25m,A,1971,female
SH0000102,mass,Ho Chi Minh City,10m_to_25m,C,1965,male
SH0000103,mass,Ha Noi,10m_to_25m,C,1999,female
SH0000104,mass,Ha Noi,10m_to_25m,B,2003,female
SH0000105,emerging_affluent,Khanh Hoa,10m_to_25m,D,1996,male
SH0000106,mass,Khanh Hoa,10m_to_25m,C,1986,male
SH0000107,mass,Bac Ninh,under_10m,B,2002,male
SH0000108,emerging_affluent,Ho Chi Minh City,under_10m,B,1970,female
SH0000109,mass,Ho Chi Minh City,10m_to_25m,E,1976,female
SH0000110,emerging_affluent,Long An,over_25m,D,1976,female
SH0000111,mass,Hai Phong,10m_to_25m,C,2000,female
SH0000112,emerging_affluent,Khanh Hoa,over_25m,B,1998,female
SH0000113,mass,Long An,under_10m,D,1979,female
SH0000114,mass,Hai Phong,over_25m,C,1968,female
SH0000115,emerging_affluent,Ho Chi Minh City,over_25m,D,1987,male
SH0000116,mass,Ho Chi Minh City,under_10m,C,1996,female
SH0000117,emerging_affluent,Da Nang,10m_to_25m,A,2000,female
SH0000118,emerging_affluent,Dong Nai,under_10m,C,1975,female
SH0000119,emerging_affluent,Ha Noi,10m_to_25m,B,1981,male
SH0000120,emerging_affluent,Ha Noi,under_10m,C,1983,male
SH0000121,mass,Ha Noi,under_10m,B,2001,male
SH0000122,emerging_affluent,Thanh Hoa,under_10m,C,1986,male
SH0000123,mass,Binh Duong,10m_to_25m,C,2005,male
SH0000124,mass,Bac Ninh,under_10m,A,1979,male
SH0000125,mass,Ho Chi Minh City,under_10m,C,1983,female
SH0000126,mass,Bac Ninh,under_10m,D,1980,male
SH0000127,mass,Ha Noi,10m_to_25m,C,2002,female
SH0000128,mass,Ha Noi,under_10m,B,1979,female
SH0000129,emerging_affluent,Ho Chi Minh City,10m_to_25m,C,1988,female
SH0000130,mass,Hai Phong,10m_to_25m,D,1975,female
SH0000131,mass,Ho Chi Minh City,10m_to_25m,E,1988,female
SH0000132,mass,Khanh Hoa,over_25m,B,1977,male
SH0000133,mass,Ha Noi,10m_to_25m,B,1967,male
SH0000134,mass,Ho Chi Minh City,under_10m,C,1983,male
SH0000135,mass,Ho Chi Minh City,under_10m,B,1981,male
SH0000136,mass,Ha Noi,10m_to_25m,B,1981,male
SH0000137,mass,Hai Phong,under_10m,B,1999,female
SH0000138,mass,Hai Phong,under_10m,E,1984,male
SH0000139,mass,Nghe An,under_10m,B,1994,male
SH0000140,mass,Ha Noi,under_10m,B,1993,female
SH0000141,mass,Ho Chi Minh City,10m_to_25m,A,1988,male
SH0000142,mass,Nghe An,10m_to_25m,D,1976,male
SH0000143,mass,Khanh Hoa,over_25m,C,1983,female
SH0000144,emerging_affluent,Ha Noi,10m_to_25m,B,1986,male
SH0000145,mass,Ha Noi,under_10m,A,1968,female
SH0000146,mass,Binh Duong,10m_to_25m,B,1970,female
SH0000147,mass,Dong Nai,10m_to_25m,B,1970,female
SH0000148,mass,Khanh Hoa,under_10m,E,1988,female
SH0000149,emerging_affluent,Ha Noi,10m_to_25m,C,2001,male
SH0000150,mass,Ho Chi Minh City,under_10m,C,2005,female
SH0000151,mass,Ho Chi Minh City,over_25m,B,1989,female
SH0000152,mass,Long An,10m_to_25m,D,1996,female
SH0000153,mass,Thanh Hoa,10m_to_25m,A,2005,male
SH0000154,mass,Thanh Hoa,under_10m,D,1991,male
SH0000155,emerging_affluent,Hai Phong,under_10m,B,1971,female
SH0000156,mass,Nghe An,10m_to_25m,D,1991,female
SH0000157,emerging_affluent,Ho Chi Minh City,10m_to_25m,D,1986,female
SH0000158,emerging_affluent,Ha Noi,over_25m,D,1985,male
SH0000159,mass,Ho Chi Minh City,over_25m,C,1995,female
SH0000160,mass,Thanh Hoa,under_10m,C,1988,female
SH0000161,emerging_affluent,Da Nang,10m_to_25m,B,1989,male
SH0000162,mass,Can Tho,under_10m,C,1966,male
SH0000163,mass,Thanh Hoa,10m_to_25m,D,1974,male
SH0000164,mass,Ho Chi Minh City,10m_to_25m,C,1983,male
SH0000165,emerging_affluent,Ho Chi Minh City,10m_to_25m,C,1984,female
SH0000166,mass,Ho Chi Minh City,10m_to_25m,D,1996,female
SH0000167,emerging_affluent,Long An,under_10m,B,2005,female
SH0000168,mass,Can Tho,10m_to_25m,C,1981,female
SH0000169,mass,Ho Chi Minh City,over_25m,C,1975,female
SH0000170,mass,Ha Noi,under_10m,D,1966,female
SH0000171,mass,Ha Noi,over_25m,B,2003,male
SH0000172,mass,Dong Nai,under_10m,C,1972,male
SH0000173,emerging_affluent,Binh Duong,under_10m,C,1999,female
SH0000174,mass,Ho Chi Minh City,over_25m,D,1965,female
SH0000175,mass,Dong Nai,10m_to_25m,C,1985,male
SH0000176,emerging_affluent,Ho Chi Minh City,10m_to_25m,E,1971,male
SH0000177,mass,Bac Ninh,under_10m,B,1973,male
SH0000178,mass,Ha Noi,10m_to_25m,C,1986,female
SH0000179,emerging_affluent,Ha Noi,10m_to_25m,C,2005,female
SH0000180,mass,Binh Duong,under_10m,B,1967,female
SH0000181,emerging_affluent,Da Nang,under_10m,E,1995,female
SH0000182,mass,Hai Phong,over_25m,B,2001,male
SH0000183,mass,Thanh Hoa,10m_to_25m,C,1970,male
SH0000184,emerging_affluent,Ha Noi,10m_to_25m,C,1991,female
SH0000185,mass,Long An,under_10m,C,2003,female
SH0000186,mass,Ha Noi,over_25m,D,1976,female
SH0000187,mass,Thanh Hoa,over_25m,C,1992,female
SH0000188,mass,Thanh Hoa,10m_to_25m,C,1994,female
SH0000189,mass,Binh Duong,under_10m,C,1991,male
SH0000190,mass,Ho Chi Minh City,10m_to_25m,C,1977,male
SH0000191,emerging_affluent,Ha Noi,over_25m,B,1973,female
SH0000192,mass,Ha Noi,under_10m,B,1976,female
SH0000193,mass,Thanh Hoa,10m_to_25m,E,1973,female
SH0000194,mass,Ha Noi,under_10m,E,1986,male
SH0000195,mass,Khanh Hoa,over_25m,C,1965,male
SH0000196,emerging_affluent,Hai Phong,under_10m,C,1993,male
SH0000197,mass,Nghe An,over_25m,E,1978,male
SH0000198,emerging_affluent,Nghe An,10m_to_25m,D,1969,male
SH0000199,mass,Long An,under_10m,B,1974,male
SH0000200,mass,Khanh Hoa,10m_to_25m,D,1988,male
SH0000201,emerging_affluent,Ho Chi Minh City,10m_to_25m,B,1978,female
SH0000202,mass,Ha Noi,over_25m,B,2003,male
SH0000203,emerging_affluent,Hai Phong,over_25m,A,1990,female
SH0000204,mass,Binh Duong,over_25m,C,1983,male
SH0000205,mass,Khanh Hoa,10m_to_25m,C,1972,male
SH0000206,emerging_affluent,Long An,over_25m,C,1969,male
SH0000207,mass,Binh Duong,10m_to_25m,C,2005,male
SH0000208,mass,Da Nang,10m_to_25m,D,2002,female
SH0000209,emerging_affluent,Can Tho,10m_to_25m,C,1978,male
SH0000210,emerging_affluent,Ha Noi,under_10m,B,1977,female
SH0000211,mass,Ha Noi,under_10m,D,1967,male
SH0000212,emerging_affluent,Da Nang,under_10m,B,1967,female
SH0000213,emerging_affluent,Khanh Hoa,under_10m,C,1987,female
SH0000214,emerging_affluent,Ha Noi,10m_to_25m,D,1994,male
SH0000215,mass,Ho Chi Minh City,10m_to_25m,B,1973,female
SH0000216,mass,Ho Chi Minh City,10m_to_25m,C,1993,female
SH0000217,mass,Ha Noi,under_10m,D,1991,female
SH0000218,mass,Bac Ninh,under_10m,C,2003,male
SH0000219,mass,Da Nang,10m_to_25m,D,1988,male
SH0000220,mass,Ho Chi Minh City,10m_to_25m,B,1976,male
SH0000221,mass,Binh Duong,under_10m,B,1998,male
SH0000222,mass,Ha Noi,10m_to_25m,A,1979,male
SH0000223,mass,Ha Noi,under_10m,D,2001,male
SH0000224,emerging_affluent,Hai Phong,under_10m,B,1984,female
SH0000225,mass,Ho Chi Minh City,under_10m,B,1992,male
SH0000226,mass,Ho Chi Minh City,over_25m,B,1979,male
SH0000227,mass,Ha Noi,10m_to_25m,B,1979,female
SH0000228,mass,Nghe An,under_10m,B,1983,female
SH0000229,emerging_affluent,Ho Chi Minh City,10m_to_25m,C,1999,male
SH0000230,mass,Ha Noi,under_10m,E,1968,female
SH0000231,emerging_affluent,Bac Ninh,10m_to_25m,C,1971,male
SH0000232,mass,Bac Ninh,10m_to_25m,B,1991,male
SH0000233,emerging_affluent,Ha Noi,10m_to_25m,C,1969,female
SH0000234,mass,Hai Phong,over_25m,E,1994,male
SH0000235,mass,Ho Chi Minh City,10m_to_25m,C,1983,male
SH0000236,mass,Ha Noi,under_10m,A,1977,male
SH0000237,mass,Bac Ninh,10m_to_25m,D,1980,female
SH0000238,emerging_affluent,Dong Nai,10m_to_25m,C,2005,male
SH0000239,emerging_affluent,Nghe An,10m_to_25m,A,1981,female
SH0000240,mass,Da Nang,under_10m,D,1971,female
SH0000241,mass,Dong Nai,10m_to_25m,B,1984,female
SH0000242,mass,Ha Noi,under_10m,B,1982,female
SH0000243,emerging_affluent,Dong Nai,over_25m,D,1986,female
SH0000244,emerging_affluent,Binh Duong,under_10m,B,1980,female
SH0000245,emerging_affluent,Dong Nai,10m_to_25m,C,1988,female
SH0000246,mass,Can Tho,10m_to_25m,D,1967,male
SH0000247,mass,Ha Noi,10m_to_25m,C,2000,male
SH0000248,mass,Ha Noi,under_10m,C,1970,male
SH0000249,mass,Bac Ninh,under_10m,B,1986,male
SH0000250,emerging_affluent,Ho Chi Minh City,under_10m,D,1982,female
SH0000251,emerging_affluent,Ha Noi,10m_to_25m,C,1991,male
SH0000252,mass,Ho Chi Minh City,over_25m,E,1992,male
SH0000253,emerging_affluent,Khanh Hoa,under_10m,E,1977,female
SH0000254,mass,Ha Noi,10m_to_25m,B,1994,female
SH0000255,mass,Nghe An,under_10m,A,1988,male
SH0000256,mass,Ha Noi,under_10m,E,1973,male
SH0000257,emerging_affluent,Binh Duong,over_25m,D,1994,male
SH0000258,emerging_affluent,Ha Noi,10m_to_25m,C,2004,female
SH0000259,mass,Hai Phong,10m_to_25m,C,1993,male
SH0000260,mass,Can Tho,under_10m,D,1994,male
SH0000261,mass,Nghe An,under_10m,B,1990,male
SH0000262,mass,Ha Noi,over_25m,E,1966,male
SH0000263,mass,Ho Chi Minh City,under_10m,C,1971,male
SH0000264,mass,Bac Ninh,under_10m,D,2000,female
SH0000265,mass,Long An,under_10m,B,2003,male
SH0000266,mass,Hai Phong,10m_to_25m,C,1982,male
SH0000267,mass,Ho Chi Minh City,under_10m,B,1991,female
SH0000268,emerging_affluent,Ha Noi,under_10m,B,1989,male
SH0000269,mass,Da Nang,over_25m,C,1985,female
SH0000270,mass,Hai Phong,10m_to_25m,B,1994,female
SH0000271,mass,Ha Noi,over_25m,C,2005,female
SH0000272,mass,Da Nang,10m_to_25m,C,1983,female
SH0000273,mass,Thanh Hoa,10m_to_25m,C,1990,female
SH0000274,mass,Ha Noi,10m_to_25m,C,1966,female
SH0000275,emerging_affluent,Khanh Hoa,under_10m,B,1973,male
SH0000276,emerging_affluent,Long An,under_10m,B,1969,female
SH0000277,mass,Ho Chi Minh City,10m_to_25m,D,1973,female
SH0000278,mass,Thanh Hoa,under_10m,C,1997,male
SH0000279,mass,Ho Chi Minh City,10m_to_25m,D,1977,male
SH0000280,emerging_affluent,Da Nang,10m_to_25m,D,1973,male
SH0000281,mass,Dong Nai,under_10m,C,1974,male
SH0000282,emerging_affluent,Ho Chi Minh City,under_10m,B,1979,male
SH0000283,mass,Thanh Hoa,under_10m,D,1977,male
SH0000284,mass,Bac Ninh,over_25m,E,1984,female
SH0000285,emerging_affluent,Nghe An,10m_to_25m,A,2002,female
SH0000286,mass,Da Nang,under_10m,C,1996,female
SH0000287,mass,Bac Ninh,10m_to_25m,D,1969,female
SH0000288,emerging_affluent,Bac Ninh,under_10m,C,1995,male
SH0000289,mass,Long An,10m_to_25m,B,2003,male
SH0000290,mass,Ho Chi Minh City,over_25m,C,1967,female
SH0000291,mass,Long An,10m_to_25m,B,1972,female
SH0000292,mass,Ha Noi,10m_to_25m,B,2004,male
SH0000293,mass,Khanh Hoa,under_10m,B,1975,female
SH0000294,mass,Thanh Hoa,10m_to_25m,B,1992,male
SH0000295,mass,Can Tho,under_10m,C,2005,female
SH0000296,mass,Ha Noi,10m_to_25m,C,1974,male
SH0000297,mass,Ha Noi,over_25m,C,1981,female
SH0000298,mass,Long An,under_10m,E,1967,male
SH0000299,mass,Da Nang,10m_to_25m,B,1995,male
SH0000300,mass,Binh Duong,10m_to_25m,D,1987,female
SH0000301,mass,Ha Noi,under_10m,E,1976,female
SH0000302,emerging_affluent,Ho Chi Minh City,under_10m,A,1968,male
SH0000303,mass,Hai Phong,over_25m,D,1997,male
SH0000304,mass,Ha Noi,over_25m,B,1969,female
SH0000305,emerging_affluent,Long An,over_25m,D,1970,female
SH0000306,mass,Hai Phong,10m_to_25m,D,1971,female
SH0000307,mass,Ho Chi Minh City,10m_to_25m,C,1969,female
SH0000308,emerging_affluent,Khanh Hoa,over_25m,B,1996,female
SH0000309,mass,Dong Nai,10m_to_25m,E,1986,male
SH0000310,emerging_affluent,Thanh Hoa,under_10m,C,1992,male
SH0000311,mass,Dong Nai,over_25m,B,1968,female
SH0000312,emerging_affluent,Thanh Hoa,over_25m,B,1975,female
SH0000313,mass,Ho Chi Minh City,10m_to_25m,A,1989,male
SH0000314,mass,Dong Nai,10m_to_25m,A,1983,male
SH0000315,mass,Thanh Hoa,over_25m,A,1966,male
SH0000316,emerging_affluent,Ha Noi,10m_to_25m,D,1977,male
SH0000317,mass,Hai Phong,under_10m,A,1996,male
SH0000318,mass,Bac Ninh,10m_to_25m,C,1969,male
SH0000319,mass,Da Nang,over_25m,D,1991,male
SH0000320,mass,Can Tho,over_25m,D,1992,female
SH0000321,mass,Ha Noi,under_10m,B,1971,male
SH0000322,mass,Da Nang,under_10m,D,1995,female
SH0000323,emerging_affluent,Da Nang,10m_to_25m,C,1990,female
SH0000324,mass,Thanh Hoa,10m_to_25m,B,1982,female
SH0000325,mass,Ho Chi Minh City,10m_to_25m,B,1971,female
SH0000326,mass,Long An,10m_to_25m,B,1995,male
SH0000327,mass,Long An,10m_to_25m,B,2002,male
SH0000328,mass,Khanh Hoa,10m_to_25m,B,1978,female
SH0000329,mass,Khanh Hoa,under_10m,C,1992,male
SH0000330,mass,Ho Chi Minh City,10m_to_25m,B,1999,female
SH0000331,mass,Da Nang,10m_to_25m,C,1996,female
SH0000332,mass,Bac Ninh,10m_to_25m,D,1969,male
SH0000333,emerging_affluent,Long An,10m_to_25m,C,1984,female
SH0000334,mass,Bac Ninh,under_10m,A,1989,male
SH0000335,emerging_affluent,Can Tho,under_10m,C,1996,female
SH0000336,mass,Binh Duong,10m_to_25m,B,1981,female
SH0000337,mass,Dong Nai,over_25m,C,1996,male
SH0000338,emerging_affluent,Thanh Hoa,under_10m,B,1979,male
SH0000339,emerging_affluent,Ha Noi,over_25m,C,1988,male
SH0000340,emerging_affluent,Long An,under_10m,C,1992,female
SH0000341,emerging_affluent,Ha Noi,over_25m,D,1983,female
SH0000342,mass,Ha Noi,10m_to_25m,C,1972,female
SH0000343,emerging_affluent,Hai Phong,under_10m,B,1981,female
SH0000344,emerging_affluent,Ho Chi Minh City,under_10m,B,1969,female
SH0000345,mass,Binh Duong,under_10m,C,1965,female
SH0000346,mass,Ho Chi Minh City,10m_to_25m,A,1965,female
SH0000347,mass,Ha Noi,under_10m,A,1989,male
SH0000348,mass,Nghe An,under_10m,D,1978,female
SH0000349,mass,Ha Noi,10m_to_25m,C,1973,female
SH0000350,mass,Bac Ninh,10m_to_25m,C,1995,male
SH0000351,mass,Ho Chi Minh City,under_10m,C,1979,female
SH0000352,emerging_affluent,Long An,10m_to_25m,D,1966,male
SH0000353,mass,Long An,under_10m,B,1989,female
SH0000354,mass,Hai Phong,10m_to_25m,E,1982,male
SH0000355,emerging_affluent,Khanh Hoa,over_25m,A,1965,female
SH0000356,emerging_affluent,Thanh Hoa,over_25m,C,1997,male
SH0000357,mass,Da Nang,under_10m,C,1990,female
SH0000358,mass,Binh Duong,10m_to_25m,D,1986,male
SH0000359,emerging_affluent,Khanh Hoa,10m_to_25m,C,1977,female
SH0000360,mass,Ho Chi Minh City,over_25m,D,1969,male
SH0000361,emerging_affluent,Long An,under_10m,C,1980,male
SH0000362,mass,Ha Noi,over_25m,B,1983,male
SH0000363,mass,Nghe An,10m_to_25m,D,1978,male
SH0000364,emerging_affluent,Ho Chi Minh City,10m_to_25m,D,1966,male
SH0000365,mass,Dong Nai,over_25m,C,1991,male
SH0000366,mass,Ho Chi Minh City,under_10m,B,1983,male
SH0000367,mass,Long An,under_10m,A,1981,female
SH0000368,mass,Ha Noi,under_10m,A,1983,male
SH0000369,emerging_affluent,Can Tho,under_10m,C,1981,male
SH0000370,mass,Ha Noi,under_10m,C,1995,male
SH0000371,mass,Nghe An,10m_to_25m,D,2003,female
SH0000372,mass,Dong Nai,over_25m,E,1995,male
SH0000373,mass,Bac Ninh,under_10m,E,1987,male
SH0000374,emerging_affluent,Da Nang,under_10m,C,1971,female
SH0000375,mass,Da Nang,over_25m,B,1970,female
SH0000376,mass,Ha Noi,over_25m,C,2005,female
SH0000377,emerging_affluent,Ha Noi,under_10m,B,1985,male
SH0000378,mass,Nghe An,over_25m,B,1993,male
SH0000379,mass,Ho Chi Minh City,10m_to_25m,B,1981,female
SH0000380,mass,Ha Noi,under_10m,D,1983,male
SH0000381,mass,Ho Chi Minh City,under_10m,D,1999,male
SH0000382,mass,Ho Chi Minh City,under_10m,B,1992,female
SH0000383,emerging_affluent,Ho Chi Minh City,10m_to_25m,D,1998,male
SH0000384,mass,Thanh Hoa,under_10m,C,1998,female
SH0000385,mass,Ho Chi Minh City,over_25m,B,1990,male
SH0000386,mass,Ho Chi Minh City,under_10m,A,1979,male
SH0000387,mass,Ha Noi,under_10m,B,1980,male
SH0000388,mass,Ho Chi Minh City,10m_to_25m,E,1979,female
SH0000389,mass,Thanh Hoa,10m_to_25m,D,1986,female
SH0000390,mass,Nghe An,10m_to_25m,D,1996,male
SH0000391,emerging_affluent,Hai Phong,10m_to_25m,A,1968,male
SH0000392,emerging_affluent,Ha Noi,10m_to_25m,C,1986,female
SH0000393,mass,Ha Noi,under_10m,C,1976,male
SH0000394,mass,Dong Nai,over_25m,B,2000,female
SH0000395,mass,Thanh Hoa,under_10m,B,1978,male
SH0000396,mass,Ha Noi,10m_to_25m,C,1984,female
SH0000397,emerging_affluent,Ha Noi,over_25m,D,2004,male
SH0000398,mass,Binh Duong,10m_to_25m,C,1977,male
SH0000399,mass,Bac Ninh,10m_to_25m,A,1969,male
SH0000400,mass,Khanh Hoa,10m_to_25m,B,1967,female
SH0000401,emerging_affluent,Ho Chi Minh City,under_10m,B,2003,male
SH0000402,mass,Khanh Hoa,under_10m,B,1994,female
SH0000403,mass,Can Tho,over_25m,A,2000,female
SH0000404,emerging_affluent,Binh Duong,under_10m,C,1992,male
SH0000405,emerging_affluent,Can Tho,under_10m,D,1972,female
SH0000406,mass,Ho Chi Minh City,under_10m,C,1983,male
SH0000407,emerging_affluent,Nghe An,under_10m,B,1995,female
SH0000408,mass,Can Tho,under_10m,C,1987,male
SH0000409,mass,Binh Duong,10m_to_25m,C,1973,male
SH0000410,emerging_affluent,Can Tho,under_10m,C,1975,female
SH0000411,emerging_affluent,Binh Duong,under_10m,C,2002,female
SH0000412,mass,Long An,under_10m,C,1966,male
SH0000413,emerging_affluent,Da Nang,over_25m,C,1985,female
SH0000414,emerging_affluent,Long An,over_25m,A,1969,female
SH0000415,mass,Ho Chi Minh City,under_10m,B,2000,female
SH0000416,mass,Can Tho,under_10m,D,1994,female
SH0000417,emerging_affluent,Ho Chi Minh City,10m_to_25m,C,1976,male
SH0000418,mass,Ho Chi Minh City,10m_to_25m,A,2001,male
SH0000419,emerging_affluent,Bac Ninh,10m_to_25m,C,2003,female
SH0000420,mass,Ho Chi Minh City,under_10m,C,1990,female
SH0000421,mass,Nghe An,under_10m,C,1968,male
SH0000422,emerging_affluent,Ho Chi Minh City,10m_to_25m,D,1999,male
SH0000423,mass,Ho Chi Minh City,under_10m,E,1981,male
SH0000424,mass,Ho Chi Minh City,10m_to_25m,C,1971,male
SH0000425,mass,Can Tho,10m_to_25m,D,1970,female
SH0000426,mass,Can Tho,under_10m,A,1986,female
SH0000427,mass,Ho Chi Minh City,over_25m,D,1994,male
SH0000428,mass,Ho Chi Minh City,over_25m,B,1984,female
SH0000429,mass,Dong Nai,10m_to_25m,E,1997,male
SH0000430,mass,Binh Duong,10m_to_25m,D,1969,female
SH0000431,mass,Thanh Hoa,under_10m,C,1975,male
SH0000432,mass,Ho Chi Minh City,under_10m,C,1966,male
SH0000433,mass,Dong Nai,10m_to_25m,D,1989,male
SH0000434,mass,Ho Chi Minh City,under_10m,D,1972,female
SH0000435,mass,Ho Chi Minh City,10m_to_25m,D,1995,female
SH0000436,mass,Ho Chi Minh City,over_25m,B,1981,male
SH0000437,mass,Ho Chi Minh City,10m_to_25m,D,1987,male
SH0000438,mass,Nghe An,10m_to_25m,B,2000,male
SH0000439,emerging_affluent,Khanh Hoa,under_10m,C,1992,female
SH0000440,mass,Ho Chi Minh City,10m_to_25m,A,1999,female
SH0000441,emerging_affluent,Ho Chi Minh City,under_10m,D,1973,female
SH0000442,mass,Ha Noi,10m_to_25m,D,1967,female
SH0000443,mass,Nghe An,10m_to_25m,E,1989,male
