snapshot_month,loan_id,outstanding_principal,dpd,dpd_bucket,status,is_restructured
2024-03-31,LN00000008,4884211,0,current,active,false
2024-04-30,LN00000008,4578947,0,current,active,false
2024-05-31,LN00000008,4273684,0,current,active,false
2024-06-30,LN00000008,3968421,0,current,active,false
2024-07-31,LN00000008,3663158,0,current,active,false
2024-08-31,LN00000008,3357895,0,current,active,false
2024-09-30,LN00000008,3052632,0,current,active,false
2024-10-31,LN00000008,2747368,40,dpd_30_59,active,false
2024-11-30,LN00000008,2442105,42,dpd_30_59,active,false
2024-12-31,LN00000008,2136842,42,dpd_30_59,active,false
2025-01-31,LN00000008,1831579,43,dpd_30_59,active,false
2025-02-28,LN00000008,1526316,43,dpd_30_59,active,false
2025-03-31,LN00000008,1221053,43,dpd_30_59,active,false
2025-04-30,LN00000008,915789,9,dpd_1_29,active,false
2025-05-31,LN00000008,610526,10,dpd_1_29,active,false
2025-06-30,LN00000008,305263,0,current,active,false
2025-07-31,LN00000008,0,0,current,closed,false
2024-01-31,LN00000009,5148571,37,dpd_30_59,active,false
2024-02-29,LN00000009,4997143,39,dpd_30_59,active,false
2024-03-31,LN00000009,4845714,41,dpd_30_59,active,false
2024-04-30,LN00000009,4694286,85,dpd_60_89,active,false
2024-05-31,LN00000009,4542857,86,dpd_60_89,active,false
2024-06-30,LN00000009,4391429,86,dpd_60_89,active,false
2024-07-31,LN00000009,4240000,87,dpd_60_89,active,false
2024-08-31,LN00000009,4088571,88,dpd_60_89,active,false
2024-09-30,LN00000009,3937143,88,dpd_60_89,active,false
2024-10-31,LN00000009,3785714,90,dpd_90_plus,active,false
2024-11-30,LN00000009,3634286,92,dpd_90_plus,active,false
2024-12-31,LN00000009,3482857,65,dpd_60_89,active,false
2025-01-31,LN00000009,3331429,31,dpd_30_59,active,false
2025-02-28,LN00000009,3180000,6,dpd_1_29,active,false
2025-03-31,LN00000009,3028571,0,current,active,false
2025-04-30,LN00000009,2877143,0,current,active,false
2025-05-31,LN00000009,2725714,0,current,active,false
2025-06-30,LN00000009,2574286,0,current,active,false
2025-07-31,LN00000009,2422857,0,current,active,false
2025-08-31,LN00000009,2271429,0,current,active,false
2025-09-30,LN00000009,2120000,24,dpd_1_29,active,false
2025-10-31,LN00000009,1968571,0,current,active,false
2025-11-30,LN00000009,1817143,0,current,active,false
2025-12-31,LN00000009,1665714,0,current,active,false
2024-01-31,LN00000010,5014286,0,current,active,false
2024-02-29,LN00000010,4628571,0,current,active,false
2024-03-31,LN00000010,4242857,0,current,active,false
2024-04-30,LN00000010,3857143,0,current,active,false
2024-05-31,LN00000010,3471429,15,dpd_1_29,active,false
2024-06-30,LN00000010,3085714,32,dpd_30_59,active,false
2024-07-31,LN00000010,2700000,0,current,active,false
2024-08-31,LN00000010,2314286,31,dpd_30_59,active,false
2024-09-30,LN00000010,1928571,33,dpd_30_59,active,false
2024-10-31,LN00000010,1542857,35,dpd_30_59,active,false
2024-11-30,LN00000010,1157143,35,dpd_30_59,active,false
2024-12-31,LN00000010,771429,37,dpd_30_59,active,false
2025-01-31,LN00000010,385714,37,dpd_30_59,active,false
2025-02-28,LN00000010,0,0,current,closed,false
2024-01-31,LN00000011,98133333,35,dpd_30_59,active,false
2024-02-29,LN00000011,85866667,35,dpd_30_59,active,false
2024-03-31,LN00000011,73600000,37,dpd_30_59,active,false
2024-04-30,LN00000011,61333333,37,dpd_30_59,active,false
2024-05-31,LN00000011,49066667,38,dpd_30_59,active,false
2024-06-30,LN00000011,36800000,38,dpd_30_59,active,false
2024-07-31,LN00000011,24533333,40,dpd_30_59,active,false
2024-08-31,LN00000011,12266667,41,dpd_30_59,active,false
2024-09-30,LN00000011,0,0,current,closed,false
2024-01-31,LN00000012,15403125,0,current,active,false
2024-02-29,LN00000012,14906250,0,current,active,false
2024-03-31,LN00000012,14409375,0,current,active,false
2024-04-30,LN00000012,13912500,0,current,active,false
2024-05-31,LN00000012,13415625,0,current,active,false
2024-06-30,LN00000012,12918750,0,current,active,false
2024-07-31,LN00000012,12421875,0,current,active,false
2024-08-31,LN00000012,11925000,30,dpd_30_59,active,false
2024-09-30,LN00000012,11428125,31,dpd_30_59,active,false
2024-10-31,LN00000012,10931250,31,dpd_30_59,active,false
2024-11-30,LN00000012,10434375,0,current,active,false
2024-12-31,LN00000012,9937500,0,current,active,false
2025-01-31,LN00000012,9440625,0,current,active,false
2025-02-28,LN00000012,8943750,0,current,active,false
2025-03-31,LN00000012,8446875,0,current,active,false
2025-04-30,LN00000012,7950000,0,current,active,false
2025-05-31,LN00000012,7453125,0,current,active,false
2025-06-30,LN00000012,6956250,0,current,active,false
2025-07-31,LN00000012,6459375,44,dpd_30_59,active,false
2025-08-31,LN00000012,5962500,22,dpd_1_29,active,false
2025-09-30,LN00000012,5465625,23,dpd_1_29,active,false
2025-10-31,LN00000012,4968750,23,dpd_1_29,active,false
2025-11-30,LN00000012,4471875,62,dpd_60_89,active,false
2025-12-31,LN00000012,3975000,62,dpd_60_89,active,false
2024-01-31,LN00000013,27307692,0,current,active,false
2024-02-29,LN00000013,26215385,0,current,active,false
2024-03-31,LN00000013,25123077,0,current,active,false
2024-04-30,LN00000013,24030769,0,current,active,false
2024-05-31,LN00000013,22938462,0,current,active,false
2024-06-30,LN00000013,21846154,0,current,active,false
2024-07-31,LN00000013,20753846,0,current,active,false
2024-08-31,LN00000013,19661538,0,current,active,false
2024-09-30,LN00000013,18569231,0,current,active,false
2024-10-31,LN00000013,17476923,0,current,active,false
2024-11-30,LN00000013,16384615,0,current,active,false
2024-12-31,LN00000013,15292308,0,current,active,false
2025-01-31,LN00000013,14200000,0,current,active,false
2025-02-28,LN00000013,13107692,0,current,active,false
2025-03-31,LN00000013,12015385,0,current,active,false
2025-04-30,LN00000013,10923077,0,current,active,false
2025-05-31,LN00000013,9830769,0,current,active,false
2025-06-30,LN00000013,8738462,0,current,active,false
2025-07-31,LN00000013,7646154,0,current,active,false
2025-08-31,LN00000013,6553846,0,current,active,false
2025-09-30,LN00000013,5461538,0,current,active,false
2025-10-31,LN00000013,4369231,0,current,active,false
2025-11-30,LN00000013,3276923,0,current,active,false
2025-12-31,LN00000013,2184615,0,current,active,false
2024-01-31,LN00000014,17888889,0,current,active,false
2024-02-29,LN00000014,17377778,0,current,active,false
2024-03-31,LN00000014,16866667,0,current,active,false
2024-04-30,LN00000014,16355556,0,current,active,false
2024-05-31,LN00000014,15844444,0,current,active,false
2024-06-30,LN00000014,15333333,0,current,active,false
2024-07-31,LN00000014,14822222,0,current,active,false
2024-08-31,LN00000014,14311111,0,current,active,false
2024-09-30,LN00000014,13800000,0,current,active,false
2024-10-31,LN00000014,13288889,0,current,active,false
2024-11-30,LN00000014,12777778,0,current,active,false
2024-12-31,LN00000014,12266667,0,current,active,false
2025-01-31,LN00000014,11755556,0,current,active,false
2025-02-28,LN00000014,11244444,17,dpd_1_29,active,false
2025-03-31,LN00000014,10733333,17,dpd_1_29,active,false
2025-04-30,LN00000014,10222222,50,dpd_30_59,active,false
2025-05-31,LN00000014,9711111,19,dpd_1_29,active,false
2025-06-30,LN00000014,9200000,20,dpd_1_29,active,false
2025-07-31,LN00000014,8688889,22,dpd_1_29,active,false
2025-08-31,LN00000014,8177778,22,dpd_1_29,active,false
2025-09-30,LN00000014,7666667,0,current,active,false
2025-10-31,LN00000014,7155556,0,current,active,false
2025-11-30,LN00000014,6644444,0,current,active,false
2025-12-31,LN00000014,6133333,0,current,active,false
2024-01-31,LN00000015,11987500,0,current,active,false
2024-02-29,LN00000015,10275000,25,dpd_1_29,active,false
2024-03-31,LN00000015,8562500,27,dpd_1_29,active,false
2024-04-30,LN00000015,6850000,28,dpd_1_29,active,false
2024-05-31,LN00000015,5137500,28,dpd_1_29,active,false
2024-06-30,LN00000015,3425000,28,dpd_1_29,active,false
2024-07-31,LN00000015,1712500,28,dpd_1_29,active,false
2024-08-31,LN00000015,0,0,current,closed,false
2024-01-31,LN00000016,5194444,0,current,active,false
2024-02-29,LN00000016,4888889,0,current,active,false
2024-03-31,LN00000016,4583333,0,current,active,false
2024-04-30,LN00000016,4277778,0,current,active,false
2024-05-31,LN00000016,3972222,35,dpd_30_59,active,false
2024-06-30,LN00000016,3666667,37,dpd_30_59,active,false
2024-07-31,LN00000016,3361111,37,dpd_30_59,active,false
2024-08-31,LN00000016,3055556,37,dpd_30_59,active,false
2024-09-30,LN00000016,2750000,39,dpd_30_59,active,false
2024-10-31,LN00000016,2444444,40,dpd_30_59,active,false
2024-11-30,LN00000016,2138889,4,dpd_1_29,active,false
2024-12-31,LN00000016,1833333,0,current,active,false
2025-01-31,LN00000016,1527778,0,current,active,false
2025-02-28,LN00000016,1222222,0,current,active,false
2025-03-31,LN00000016,916667,0,current,active,false
2025-04-30,LN00000016,611111,0,current,active,false
2025-05-31,LN00000016,305556,0,current,active,false
2025-06-30,LN00000016,0,0,current,closed,false
2024-01-31,LN00000017,8228571,0,current,active,false
2024-02-29,LN00000017,6857143,0,current,active,false
2024-03-31,LN00000017,5485714,0,current,active,false
2024-04-30,LN00000017,4114286,0,current,active,false
2024-05-31,LN00000017,2742857,0,current,active,false
2024-06-30,LN00000017,1371429,0,current,active,false
2024-07-31,LN00000017,0,0,current,closed,false
2024-01-31,LN00000018,74226087,0,current,active,false
2024-02-29,LN00000018,70852174,15,dpd_1_29,active,false
2024-03-31,LN00000018,67478261,15,dpd_1_29,active,false
2024-04-30,LN00000018,64104348,16,dpd_1_29,active,false
2024-05-31,LN00000018,60730435,17,dpd_1_29,active,false
2024-06-30,LN00000018,57356522,17,dpd_1_29,active,false
2024-07-31,LN00000018,53982609,0,current,active,false
2024-08-31,LN00000018,50608696,0,current,active,false
2024-09-30,LN00000018,47234783,0,current,active,false
2024-10-31,LN00000018,43860870,0,current,active,false
2024-11-30,LN00000018,40486957,0,current,active,false
2024-12-31,LN00000018,37113043,0,current,active,false
2025-01-31,LN00000018,33739130,25,dpd_1_29,active,false
2025-02-28,LN00000018,30365217,27,dpd_1_29,active,false
2025-03-31,LN00000018,26991304,27,dpd_1_29,active,false
2025-04-30,LN00000018,23617391,28,dpd_1_29,active,false
2025-05-31,LN00000018,20243478,30,dpd_30_59,active,false
2025-06-30,LN00000018,16869565,2,dpd_1_29,active,false
2025-07-31,LN00000018,13495652,4,dpd_1_29,active,false
2025-08-31,LN00000018,10121739,0,current,active,false
2025-09-30,LN00000018,6747826,0,current,active,false
2025-10-31,LN00000018,3373913,0,current,active,false
2025-11-30,LN00000018,0,0,current,closed,false
2024-01-31,LN00000019,265446667,0,current,active,false
2024-02-29,LN00000019,256293333,0,current,active,false
2024-03-31,LN00000019,247140000,0,current,active,false
2024-04-30,LN00000019,237986667,0,current,active,false
2024-05-31,LN00000019,228833333,42,dpd_30_59,active,false
2024-06-30,LN00000019,219680000,11,dpd_1_29,active,false
2024-07-31,LN00000019,210526667,11,dpd_1_29,active,false
2024-08-31,LN00000019,201373333,11,dpd_1_29,active,false
2024-09-30,LN00000019,192220000,0,current,active,false
2024-10-31,LN00000019,183066667,0,current,active,false
2024-11-30,LN00000019,173913333,0,current,active,false
2024-12-31,LN00000019,164760000,42,dpd_30_59,active,false
2025-01-31,LN00000019,155606667,42,dpd_30_59,active,false
2025-02-28,LN00000019,146453333,11,dpd_1_29,active,false
2025-03-31,LN00000019,137300000,11,dpd_1_29,active,false
2025-04-30,LN00000019,128146667,0,current,active,false
2025-05-31,LN00000019,118993333,25,dpd_1_29,active,false
2025-06-30,LN00000019,109840000,25,dpd_1_29,active,false
2025-07-31,LN00000019,100686667,25,dpd_1_29,active,false
2025-08-31,LN00000019,91533333,26,dpd_1_29,active,false
2025-09-30,LN00000019,82380000,26,dpd_1_29,active,false
2025-10-31,LN00000019,73226667,62,dpd_60_89,active,false
2025-11-30,LN00000019,64073333,64,dpd_60_89,active,false
2025-12-31,LN00000019,54920000,31,dpd_30_59,active,false
2024-01-31,LN00000020,7366667,0,current,active,false
2024-02-29,LN00000020,6933333,0,current,active,false
2024-03-31,LN00000020,6500000,0,current,active,false
2024-04-30,LN00000020,6066667,33,dpd_30_59,active,false
2024-05-31,LN00000020,5633333,34,dpd_30_59,active,false
2024-06-30,LN00000020,5200000,36,dpd_30_59,active,false
2024-07-31,LN00000020,4766667,38,dpd_30_59,active,false
2024-08-31,LN00000020,4333333,13,dpd_1_29,active,false
2024-09-30,LN00000020,3900000,15,dpd_1_29,active,false
2024-10-31,LN00000020,3466667,0,current,active,false
2024-11-30,LN00000020,3033333,0,current,active,false
2024-12-31,LN00000020,2600000,23,dpd_1_29,active,false
2025-01-31,LN00000020,2166667,25,dpd_1_29,active,false
2025-02-28,LN00000020,1733333,26,dpd_1_29,active,false
2025-03-31,LN00000020,1300000,28,dpd_1_29,active,false
2025-04-30,LN00000020,866667,30,dpd_30_59,active,false
2025-05-31,LN00000020,433333,32,dpd_30_59,active,false
2025-06-30,LN00000020,0,0,current,closed,false
2024-01-31,LN00000021,56273684,0,current,active,false
2024-02-29,LN00000021,53147368,0,current,active,false
2024-03-31,LN00000021,50021053,0,current,active,false
2024-04-30,LN00000021,46894737,0,current,active,false
2024-05-31,LN00000021,43768421,0,current,active,false
2024-06-30,LN00000021,40642105,0,current,active,false
2024-07-31,LN00000021,37515789,0,current,active,false
2024-08-31,LN00000021,34389474,0,current,active,false
2024-09-30,LN00000021,31263158,0,current,active,false
2024-10-31,LN00000021,28136842,0,current,active,false
2024-11-30,LN00000021,25010526,0,current,active,false
2024-12-31,LN00000021,21884211,0,current,active,false
2025-01-31,LN00000021,18757895,0,current,active,false
2025-02-28,LN00000021,15631579,0,current,active,false
2025-03-31,LN00000021,12505263,0,current,active,false
2025-04-30,LN00000021,9378947,0,current,active,false
2025-05-31,LN00000021,6252632,0,current,active,false
2025-06-30,LN00000021,3126316,0,current,active,false
2025-07-31,LN00000021,0,0,current,closed,false
2024-01-31,LN00000022,15111111,25,dpd_1_29,active,false
2024-02-29,LN00000022,13222222,0,current,active,false
2024-03-31,LN00000022,11333333,0,current,active,false
2024-04-30,LN00000022,9444444,0,current,active,false
2024-05-31,LN00000022,7555556,0,current,active,false
2024-06-30,LN00000022,5666667,0,current,active,false
2024-07-31,LN00000022,3777778,0,current,active,false
2024-08-31,LN00000022,1888889,0,current,active,false
2024-09-30,LN00000022,0,0,current,closed,false
2024-01-31,LN00000023,1244444,0,current,active,false
2024-02-29,LN00000023,1088889,0,current,active,false
2024-03-31,LN00000023,933333,0,current,active,false
2024-04-30,LN00000023,777778,0,current,active,false
2024-05-31,LN00000023,622222,0,current,active,false
2024-06-30,LN00000023,466667,0,current,active,false
2024-07-31,LN00000023,311111,0,current,active,false
2024-08-31,LN00000023,155556,0,current,active,false
2024-09-30,LN00000023,0,0,current,closed,false
2024-01-31,LN00000024,62652174,31,dpd_30_59,active,false
2024-02-29,LN00000024,59804348,31,dpd_30_59,active,false
2024-03-31,LN00000024,56956522,8,dpd_1_29,active,false
2024-04-30,LN00000024,54108696,10,dpd_1_29,active,false
2024-05-31,LN00000024,51260870,46,dpd_30_59,active,false
2024-06-30,LN00000024,48413043,46,dpd_30_59,active,false
2024-07-31,LN00000024,45565217,15,dpd_1_29,active,false
2024-08-31,LN00000024,42717391,17,dpd_1_29,active,false
2024-09-30,LN00000024,39869565,19,dpd_1_29,active,false
2024-10-31,LN00000024,37021739,19,dpd_1_29,active,false
2024-11-30,LN00000024,34173913,21,dpd_1_29,active,false
2024-12-31,LN00000024,31326087,40,dpd_30_59,active,false
2025-01-31,LN00000024,28478261,40,dpd_30_59,active,false
2025-02-28,LN00000024,25630435,14,dpd_1_29,active,false
2025-03-31,LN00000024,22782609,14,dpd_1_29,active,false
2025-04-30,LN00000024,19934783,47,dpd_30_59,active,false
2025-05-31,LN00000024,17086957,48,dpd_30_59,active,false
2025-06-30,LN00000024,14239130,27,dpd_1_29,active,false
2025-07-31,LN00000024,11391304,27,dpd_1_29,active,false
2025-08-31,LN00000024,8543478,29,dpd_1_29,active,false
2025-09-30,LN00000024,5695652,53,dpd_30_59,active,false
2025-10-31,LN00000024,2847826,19,dpd_1_29,active,false
2025-11-30,LN00000024,0,0,current,closed,false
2024-01-31,LN00000025,7475000,0,current,active,false
2024-02-29,LN00000025,7150000,22,dpd_1_29,active,false
2024-03-31,LN00000025,6825000,0,current,active,false
2024-04-30,LN00000025,6500000,0,current,active,false
2024-05-31,LN00000025,6175000,0,current,active,false
2024-06-30,LN00000025,5850000,0,current,active,false
2024-07-31,LN00000025,5525000,0,current,active,false
2024-08-31,LN00000025,5200000,0,current,active,false
2024-09-30,LN00000025,4875000,0,current,active,false
2024-10-31,LN00000025,4550000,0,current,active,false
2024-11-30,LN00000025,4225000,0,current,active,false
2024-12-31,LN00000025,3900000,0,current,active,false
2025-01-31,LN00000025,3575000,42,dpd_30_59,active,false
2025-02-28,LN00000025,3250000,44,dpd_30_59,active,false
2025-03-31,LN00000025,2925000,45,dpd_30_59,active,false
2025-04-30,LN00000025,2600000,47,dpd_30_59,active,false
2025-05-31,LN00000025,2275000,49,dpd_30_59,active,false
2025-06-30,LN00000025,1950000,49,dpd_30_59,active,false
2025-07-31,LN00000025,1625000,49,dpd_30_59,active,false
2025-08-31,LN00000025,1300000,51,dpd_30_59,active,false
2025-09-30,LN00000025,975000,53,dpd_30_59,active,false
2025-10-31,LN00000025,650000,82,dpd_60_89,active,false
2025-11-30,LN00000025,325000,43,dpd_30_59,active,false
2025-12-31,LN00000025,0,0,current,closed,false
2024-01-31,LN00000026,3105882,0,current,active,false
2024-02-29,LN00000026,2911765,0,current,active,false
2024-03-31,LN00000026,2717647,0,current,active,false
2024-04-30,LN00000026,2523529,0,current,active,false
2024-05-31,LN00000026,2329412,0,current,active,false
2024-06-30,LN00000026,2135294,0,current,active,false
2024-07-31,LN00000026,1941176,0,current,active,false
2024-08-31,LN00000026,1747059,0,current,active,false
2024-09-30,LN00000026,1552941,0,current,active,false
2024-10-31,LN00000026,1358824,0,current,active,false
2024-11-30,LN00000026,1164706,0,current,active,false
2024-12-31,LN00000026,970588,0,current,active,false
2025-01-31,LN00000026,776471,0,current,active,false
2025-02-28,LN00000026,582353,0,current,active,false
2025-03-31,LN00000026,388235,0,current,active,false
2025-04-30,LN00000026,194118,0,current,active,false
2025-05-31,LN00000026,0,0,current,closed,false
2024-01-31,LN00000027,32666667,0,current,active,false
2024-02-29,LN00000027,30333333,0,current,active,false
2024-03-31,LN00000027,28000000,0,current,active,false
2024-04-30,LN00000027,25666667,0,current,active,false
2024-05-31,LN00000027,23333333,0,current,active,false
2024-06-30,LN00000027,21000000,0,current,active,false
2024-07-31,LN00000027,18666667,0,current,active,false
2024-08-31,LN00000027,16333333,0,current,active,false
2024-09-30,LN00000027,14000000,0,current,active,false
2024-10-31,LN00000027,11666667,0,current,active,false
2024-11-30,LN00000027,9333333,0,current,active,false
2024-12-31,LN00000027,7000000,0,current,active,false
2025-01-31,LN00000027,4666667,0,current,active,false
2025-02-28,LN00000027,2333333,0,current,active,false
2025-03-31,LN00000027,0,0,current,closed,false
2024-01-31,LN00000028,2470000,0,current,active,false
2024-02-29,LN00000028,2340000,0,current,active,false
2024-03-31,LN00000028,2210000,0,current,active,false
2024-04-30,LN00000028,2080000,43,dpd_30_59,active,false
2024-05-31,LN00000028,1950000,10,dpd_1_29,active,false
2024-06-30,LN00000028,1820000,10,dpd_1_29,active,false
2024-07-31,LN00000028,1690000,10,dpd_1_29,active,false
2024-08-31,LN00000028,1560000,11,dpd_1_29,active,false
2024-09-30,LN00000028,1430000,0,current,active,false
2024-10-31,LN00000028,1300000,0,current,active,false
2024-11-30,LN00000028,1170000,0,current,active,false
2024-12-31,LN00000028,1040000,0,current,active,false
2025-01-31,LN00000028,910000,0,current,active,false
2025-02-28,LN00000028,780000,0,current,active,false
2025-03-31,LN00000028,650000,0,current,active,false
2025-04-30,LN00000028,520000,0,current,active,false
2025-05-31,LN00000028,390000,0,current,active,false
2025-06-30,LN00000028,260000,0,current,active,false
2025-07-31,LN00000028,130000,0,current,active,false
2025-08-31,LN00000028,0,0,current,closed,false
2024-01-31,LN00000029,5850000,0,current,active,false
2024-02-29,LN00000029,5400000,0,current,active,false
2024-03-31,LN00000029,4950000,0,current,active,false
2024-04-30,LN00000029,4500000,0,current,active,false
2024-05-31,LN00000029,4050000,0,current,active,false
2024-06-30,LN00000029,3600000,0,current,active,false
2024-07-31,LN00000029,3150000,0,current,active,false
2024-08-31,LN00000029,2700000,0,current,active,false
2024-09-30,LN00000029,2250000,0,current,active,false
2024-10-31,LN00000029,1800000,43,dpd_30_59,active,false
2024-11-30,LN00000029,1350000,45,dpd_30_59,active,false
2024-12-31,LN00000029,900000,46,dpd_30_59,active,false
2025-01-31,LN00000029,450000,46,dpd_30_59,active,false
2025-02-28,LN00000029,0,0,current,closed,false
2024-01-31,LN00000030,61577778,0,current,active,false
2024-02-29,LN00000030,57955556,0,current,active,false
2024-03-31,LN00000030,54333333,0,current,active,false
2024-04-30,LN00000030,50711111,0,current,active,false
2024-05-31,LN00000030,47088889,0,current,active,false
2024-06-30,LN00000030,43466667,0,current,active,false
2024-07-31,LN00000030,39844444,0,current,active,false
2024-08-31,LN00000030,36222222,0,current,active,false
2024-09-30,LN00000030,32600000,16,dpd_1_29,active,false
2024-10-31,LN00000030,28977778,0,current,active,false
2024-11-30,LN00000030,25355556,0,current,active,false
2024-12-31,LN00000030,21733333,0,current,active,false
2025-01-31,LN00000030,18111111,0,current,active,false
2025-02-28,LN00000030,14488889,0,current,active,false
2025-03-31,LN00000030,10866667,0,current,active,false
2025-04-30,LN00000030,7244444,0,current,active,false
2025-05-31,LN00000030,3622222,0,current,active,false
2025-06-30,LN00000030,0,0,current,closed,false
2024-01-31,LN00000031,65085714,0,current,active,false
2024-02-29,LN00000031,63171429,0,current,active,false
2024-03-31,LN00000031,61257143,0,current,active,false
2024-04-30,LN00000031,59342857,0,current,active,false
2024-05-31,LN00000031,57428571,0,current,active,false
2024-06-30,LN00000031,55514286,0,current,active,false
2024-07-31,LN00000031,53600000,0,current,active,false
2024-08-31,LN00000031,51685714,0,current,active,false
2024-09-30,LN00000031,49771429,0,current,active,false
2024-10-31,LN00000031,47857143,0,current,active,false
2024-11-30,LN00000031,45942857,0,current,active,false
2024-12-31,LN00000031,44028571,0,current,active,false
2025-01-31,LN00000031,42114286,0,current,active,false
2025-02-28,LN00000031,40200000,0,current,active,false
2025-03-31,LN00000031,38285714,0,current,active,false
2025-04-30,LN00000031,36371429,0,current,active,false
2025-05-31,LN00000031,34457143,0,current,active,false
2025-06-30,LN00000031,32542857,0,current,active,false
2025-07-31,LN00000031,30628571,0,current,active,false
2025-08-31,LN00000031,28714286,0,current,active,false
2025-09-30,LN00000031,26800000,0,current,active,false
2025-10-31,LN00000031,24885714,0,current,active,false
2025-11-30,LN00000031,22971429,0,current,active,false
2025-12-31,LN00000031,21057143,0,current,active,false
2024-01-31,LN00000032,46530000,0,current,active,false
2024-02-29,LN00000032,41360000,0,current,active,false
2024-03-31,LN00000032,36190000,0,current,active,false
2024-04-30,LN00000032,31020000,29,dpd_1_29,active,false
2024-05-31,LN00000032,25850000,31,dpd_30_59,active,false
2024-06-30,LN00000032,20680000,33,dpd_30_59,active,false
2024-07-31,LN00000032,15510000,34,dpd_30_59,active,false
2024-08-31,LN00000032,10340000,35,dpd_30_59,active,false
2024-09-30,LN00000032,5170000,6,dpd_1_29,active,false
2024-10-31,LN00000032,0,0,current,closed,false
2024-01-31,LN00000033,16178125,0,current,active,false
2024-02-29,LN00000033,15656250,0,current,active,false
2024-03-31,LN00000033,15134375,40,dpd_30_59,active,false
2024-04-30,LN00000033,14612500,16,dpd_1_29,active,false
2024-05-31,LN00000033,14090625,17,dpd_1_29,active,false
2024-06-30,LN00000033,13568750,19,dpd_1_29,active,false
