month,loan_id,amount_due,amount_collected,bucket_at_due
2024-01-01,LN00000009,264000,242374,current
2024-02-01,LN00000009,264000,217722,dpd_1_29
2024-03-01,LN00000009,264000,250938,current
2024-04-01,LN00000009,264000,239441,current
2024-05-01,LN00000009,264000,250396,current
2024-06-01,LN00000009,264000,232867,current
2024-07-01,LN00000009,264000,217073,dpd_1_29
2024-08-01,LN00000009,264000,231692,dpd_1_29
2024-09-01,LN00000009,264000,251962,current
2024-10-01,LN00000009,264000,263361,current
2024-11-01,LN00000009,264000,235186,current
2024-12-01,LN00000009,264000,253580,dpd_1_29
2025-01-01,LN00000009,264000,263972,current
2025-02-01,LN00000009,264000,232321,current
2025-03-01,LN00000009,264000,236216,current
2025-04-01,LN00000009,264000,258161,current
2025-05-01,LN00000009,264000,258311,current
2025-06-01,LN00000009,264000,257589,current
2025-07-01,LN00000009,264000,263047,current
2025-08-01,LN00000009,264000,233354,current
2025-09-01,LN00000009,264000,249974,current
2025-10-01,LN00000009,264000,235473,current
2025-11-01,LN00000009,264000,251407,current
2025-12-01,LN00000009,264000,255669,current
2024-01-01,LN00000010,494000,450288,current
2024-02-01,LN00000010,494000,461080,current
2024-03-01,LN00000010,494000,459874,current
2024-04-01,LN00000010,494000,457880,current
2024-05-01,LN00000010,494000,474588,current
2024-06-01,LN00000010,494000,482307,current
2024-07-01,LN00000010,494000,481830,current
2024-08-01,LN00000010,494000,469370,current
2024-09-01,LN00000010,494000,439819,current
2024-10-01,LN00000010,494000,440766,current
2024-11-01,LN00000010,494000,471870,current
2024-12-01,LN00000010,494000,468174,current
2025-01-01,LN00000010,494000,395209,dpd_1_29
2024-01-01,LN00000011,14373000,12929407,current
2024-02-01,LN00000011,14373000,12370168,dpd_1_29
2024-03-01,LN00000011,14373000,13768588,current
2024-04-01,LN00000011,14373000,13099954,current
2024-05-01,LN00000011,14373000,12672080,current
2024-06-01,LN00000011,14373000,13202807,current
2024-07-01,LN00000011,14373000,14187322,current
2024-08-01,LN00000011,14373000,13746802,current
2024-01-01,LN00000012,807000,713268,current
2024-02-01,LN00000012,807000,740513,current
2024-03-01,LN00000012,807000,709975,dpd_1_29
2024-04-01,LN00000012,807000,800665,dpd_1_29
2024-05-01,LN00000012,807000,577929,dpd_30_59
2024-06-01,LN00000012,807000,445583,dpd_30_59
2024-07-01,LN00000012,807000,430115,dpd_30_59
2024-08-01,LN00000012,807000,345609,dpd_60_89
2024-09-01,LN00000012,807000,348167,dpd_60_89
2024-10-01,LN00000012,807000,28484,dpd_90_plus
2024-11-01,LN00000012,807000,41192,dpd_90_plus
2024-12-01,LN00000012,807000,31083,dpd_90_plus
2025-01-01,LN00000012,807000,103758,dpd_90_plus
2025-02-01,LN00000012,807000,171334,dpd_90_plus
2025-03-01,LN00000012,807000,69874,dpd_90_plus
2025-04-01,LN00000012,807000,61406,dpd_90_plus
2025-05-01,LN00000012,807000,119548,dpd_90_plus
2024-01-01,LN00000013,1425000,1282500,current
2024-02-01,LN00000013,1425000,1360478,current
2024-03-01,LN00000013,1425000,1341267,dpd_1_29
2024-04-01,LN00000013,1425000,1264303,current
2024-05-01,LN00000013,1425000,1365843,current
2024-06-01,LN00000013,1425000,1205870,dpd_1_29
2024-07-01,LN00000013,1425000,1261322,current
2024-08-01,LN00000013,1425000,1308261,current
2024-09-01,LN00000013,1425000,1274636,current
2024-10-01,LN00000013,1425000,1312799,current
2024-11-01,LN00000013,1425000,1388156,current
2024-12-01,LN00000013,1425000,1355141,current
2025-01-01,LN00000013,1425000,1364400,current
2025-02-01,LN00000013,1425000,1353984,current
2025-03-01,LN00000013,1425000,1332075,current
2025-04-01,LN00000013,1425000,1315846,current
2025-05-01,LN00000013,1425000,1306486,current
2025-06-01,LN00000013,1425000,1361855,current
2025-07-01,LN00000013,1425000,1279393,current
2025-08-01,LN00000013,1425000,1262280,current
2025-09-01,LN00000013,1425000,1273834,current
2025-10-01,LN00000013,1425000,1418185,current
2025-11-01,LN00000013,1425000,1290348,current
2025-12-01,LN00000013,1425000,1403248,current
2024-01-01,LN00000014,732000,720558,current
2024-02-01,LN00000014,732000,701607,current
2024-03-01,LN00000014,732000,725353,dpd_1_29
2024-04-01,LN00000014,732000,659662,current
2024-05-01,LN00000014,732000,654681,current
2024-06-01,LN00000014,732000,702310,current
2024-07-01,LN00000014,732000,664269,current
2024-08-01,LN00000014,732000,698057,current
2024-09-01,LN00000014,732000,715667,current
2024-10-01,LN00000014,732000,653503,current
2024-11-01,LN00000014,732000,697894,current
2024-12-01,LN00000014,732000,698834,current
2025-01-01,LN00000014,732000,671909,current
2025-02-01,LN00000014,732000,706541,current
2025-03-01,LN00000014,732000,665132,current
2025-04-01,LN00000014,732000,649533,current
2025-05-01,LN00000014,732000,725973,current
2025-06-01,LN00000014,732000,729298,current
2025-07-01,LN00000014,732000,701824,current
2025-08-01,LN00000014,732000,681851,current
2025-09-01,LN00000014,732000,651748,current
2025-10-01,LN00000014,732000,713395,current
2025-11-01,LN00000014,732000,714197,current
2025-12-01,LN00000014,732000,727328,current
2024-01-01,LN00000015,1947000,1811052,current
2024-02-01,LN00000015,1947000,1867311,current
2024-03-01,LN00000015,1947000,1623759,dpd_1_29
2024-04-01,LN00000015,1947000,1880474,dpd_1_29
2024-05-01,LN00000015,1947000,1853956,current
2024-06-01,LN00000015,1947000,1787797,current
2024-07-01,LN00000015,1947000,1733074,current
2024-01-01,LN00000016,398000,363657,current
2024-02-01,LN00000016,398000,370369,dpd_1_29
2024-03-01,LN00000016,398000,397847,current
2024-04-01,LN00000016,398000,355407,current
2024-05-01,LN00000016,398000,369124,current
2024-06-01,LN00000016,398000,366305,current
2024-07-01,LN00000016,398000,358709,current
2024-08-01,LN00000016,398000,385746,current
2024-09-01,LN00000016,398000,381512,current
2024-10-01,LN00000016,398000,391271,current
2024-11-01,LN00000016,398000,381164,current
2024-12-01,LN00000016,398000,359700,current
2025-01-01,LN00000016,398000,397065,current
2025-02-01,LN00000016,398000,352036,current
2025-03-01,LN00000016,398000,363119,current
2025-04-01,LN00000016,398000,354616,current
2025-05-01,LN00000016,398000,390902,current
2024-01-01,LN00000017,1517000,1430605,current
2024-02-01,LN00000017,1517000,1473530,current
2024-03-01,LN00000017,1517000,1384757,dpd_1_29
2024-04-01,LN00000017,1517000,1087107,dpd_30_59
2024-05-01,LN00000017,1517000,1003169,dpd_30_59
2024-06-01,LN00000017,1517000,817016,dpd_30_59
2024-01-01,LN00000018,4794000,4602576,current
2024-02-01,LN00000018,4794000,4611005,current
2024-03-01,LN00000018,4794000,4350424,current
2024-04-01,LN00000018,4794000,4279661,dpd_1_29
2024-05-01,LN00000018,4794000,4095944,dpd_1_29
2024-06-01,LN00000018,4794000,3381109,dpd_30_59
2024-07-01,LN00000018,4794000,3004377,dpd_30_59
2024-08-01,LN00000018,4794000,3144342,dpd_30_59
2024-09-01,LN00000018,4794000,3152029,dpd_30_59
2024-10-01,LN00000018,4794000,2553566,dpd_30_59
2024-11-01,LN00000018,4794000,4594644,current
2024-12-01,LN00000018,4794000,4632318,current
2025-01-01,LN00000018,4794000,4611140,current
2025-02-01,LN00000018,4794000,4519865,current
2025-03-01,LN00000018,4794000,4264107,current
2025-04-01,LN00000018,4794000,4306970,current
2025-05-01,LN00000018,4794000,4696677,current
2025-06-01,LN00000018,4794000,4658012,current
2025-07-01,LN00000018,4794000,4247261,current
2025-08-01,LN00000018,4794000,4731212,current
2025-09-01,LN00000018,4794000,4645229,current
2025-10-01,LN00000018,4794000,4757032,current
2024-01-01,LN00000019,14179000,13011414,current
2024-02-01,LN00000019,14179000,13337804,dpd_1_29
2024-03-01,LN00000019,14179000,13493563,dpd_1_29
2024-04-01,LN00000019,14179000,13055679,current
2024-05-01,LN00000019,14179000,12498259,current
2024-06-01,LN00000019,14179000,13266627,current
2024-07-01,LN00000019,14179000,13967197,current
2024-08-01,LN00000019,14179000,13976210,dpd_1_29
2024-09-01,LN00000019,14179000,14047057,dpd_1_29
2024-10-01,LN00000019,14179000,11799874,dpd_1_29
2024-11-01,LN00000019,14179000,13978558,dpd_1_29
2024-12-01,LN00000019,14179000,9198618,dpd_30_59
2025-01-01,LN00000019,14179000,6245400,dpd_60_89
2025-02-01,LN00000019,14179000,5091876,dpd_60_89
2025-03-01,LN00000019,14179000,659800,dpd_90_plus
2025-04-01,LN00000019,14179000,2918459,dpd_90_plus
2025-05-01,LN00000019,14179000,2497717,dpd_90_plus
2025-06-01,LN00000019,14179000,2924092,dpd_90_plus
2025-07-01,LN00000019,14179000,2654980,dpd_90_plus
2025-08-01,LN00000019,14179000,1400344,dpd_90_plus
2025-09-01,LN00000019,14179000,2451900,dpd_90_plus
2025-10-01,LN00000019,14179000,2217438,dpd_90_plus
2025-11-01,LN00000019,14179000,2983111,dpd_90_plus
2025-12-01,LN00000019,14179000,2111623,dpd_90_plus
2024-01-01,LN00000020,577000,543127,current
2024-02-01,LN00000020,577000,553390,current
2024-03-01,LN00000020,577000,481762,dpd_1_29
2024-04-01,LN00000020,577000,366961,dpd_30_59
2024-05-01,LN00000020,577000,343510,dpd_30_59
2024-06-01,LN00000020,577000,360213,dpd_30_59
2024-07-01,LN00000020,577000,363229,dpd_30_59
2024-08-01,LN00000020,577000,220200,dpd_60_89
2024-09-01,LN00000020,577000,25658,dpd_90_plus
2024-10-01,LN00000020,577000,22788,dpd_90_plus
2024-11-01,LN00000020,577000,50691,dpd_90_plus
2024-12-01,LN00000020,577000,116235,dpd_90_plus
2025-01-01,LN00000020,577000,114614,dpd_90_plus
2025-02-01,LN00000020,577000,49989,dpd_90_plus
2025-03-01,LN00000020,577000,111641,dpd_90_plus
2025-04-01,LN00000020,577000,108030,dpd_90_plus
2025-05-01,LN00000020,577000,131425,dpd_90_plus
2024-01-01,LN00000021,3753000,3512944,current
2024-02-01,LN00000021,3753000,3416584,current
2024-03-01,LN00000021,3753000,3438711,current
2024-04-01,LN00000021,3753000,3740300,current
2024-05-01,LN00000021,3753000,3349245,current
2024-06-01,LN00000021,3753000,3454118,current
2024-07-01,LN00000021,3753000,3710164,current
2024-08-01,LN00000021,3753000,3752298,dpd_1_29
2024-09-01,LN00000021,3753000,3549000,current
2024-10-01,LN00000021,3753000,3360157,current
2024-11-01,LN00000021,3753000,3548352,current
2024-12-01,LN00000021,3753000,3452643,current
2025-01-01,LN00000021,3753000,3379657,current
2025-02-01,LN00000021,3753000,3594906,current
2025-03-01,LN00000021,3753000,3365294,current
2025-04-01,LN00000021,3753000,3582183,dpd_1_29
2025-05-01,LN00000021,3753000,3559757,current
2025-06-01,LN00000021,3753000,3656228,current
2024-01-01,LN00000022,2170000,2149065,current
2024-02-01,LN00000022,2170000,1847288,dpd_1_29
2024-03-01,LN00000022,2170000,1825139,dpd_1_29
2024-04-01,LN00000022,2170000,1384376,dpd_30_59
2024-05-01,LN00000022,2170000,1526014,dpd_30_59
2024-06-01,LN00000022,2170000,804224,dpd_60_89
2024-07-01,LN00000022,2170000,364343,dpd_90_plus
2024-08-01,LN00000022,2170000,147289,dpd_90_plus
2024-01-01,LN00000023,177000,167839,current
2024-02-01,LN00000023,177000,168937,current
2024-03-01,LN00000023,177000,146090,dpd_1_29
2024-04-01,LN00000023,177000,99101,dpd_30_59
2024-05-01,LN00000023,177000,167466,current
2024-06-01,LN00000023,177000,162340,current
2024-07-01,LN00000023,177000,157075,current
2024-08-01,LN00000023,177000,167386,dpd_1_29
2024-01-01,LN00000024,3999000,3823343,current
2024-02-01,LN00000024,3999000,3658953,dpd_1_29
2024-03-01,LN00000024,3999000,3992724,current
2024-04-01,LN00000024,3999000,3994295,current
2024-05-01,LN00000024,3999000,3690708,current
2024-06-01,LN00000024,3999000,3811910,current
2024-07-01,LN00000024,3999000,3689080,current
2024-08-01,LN00000024,3999000,3754542,dpd_1_29
2024-09-01,LN00000024,3999000,3947821,current
2024-10-01,LN00000024,3999000,3635609,current
2024-11-01,LN00000024,3999000,3770807,current
2024-12-01,LN00000024,3999000,3862750,current
2025-01-01,LN00000024,3999000,3734030,current
2025-02-01,LN00000024,3999000,3696647,current
2025-03-01,LN00000024,3999000,3490929,dpd_1_29
2025-04-01,LN00000024,3999000,3643406,current
2025-05-01,LN00000024,3999000,3772030,current
2025-06-01,LN00000024,3999000,3780389,current
2025-07-01,LN00000024,3999000,3900764,current
2025-08-01,LN00000024,3999000,3646322,current
2025-09-01,LN00000024,3999000,3916345,current
2025-10-01,LN00000024,3999000,3467752,dpd_1_29
2024-01-01,LN00000025,480000,427724,current
2024-02-01,LN00000025,480000,415557,dpd_1_29
2024-03-01,LN00000025,480000,473475,current
2024-04-01,LN00000025,480000,431048,current
2024-05-01,LN00000025,480000,456842,current
2024-06-01,LN00000025,480000,431405,current
2024-07-01,LN00000025,480000,446381,current
2024-08-01,LN00000025,480000,444356,current
2024-09-01,LN00000025,480000,472934,current
2024-10-01,LN00000025,480000,451837,current
2024-11-01,LN00000025,480000,441418,current
2024-12-01,LN00000025,480000,448982,current
2025-01-01,LN00000025,480000,430444,dpd_1_29
2025-02-01,LN00000025,480000,476069,dpd_1_29
2025-03-01,LN00000025,480000,444424,dpd_1_29
2025-04-01,LN00000025,480000,442121,current
2025-05-01,LN00000025,480000,428111,current
2025-06-01,LN00000025,480000,433618,current
2025-07-01,LN00000025,480000,457988,current
2025-08-01,LN00000025,480000,424592,current
2025-09-01,LN00000025,480000,406083,dpd_1_29
2025-10-01,LN00000025,480000,295940,dpd_30_59
2025-11-01,LN00000025,480000,286520,dpd_30_59
2024-01-01,LN00000026,245000,226599,current
2024-02-01,LN00000026,245000,241442,current
2024-03-01,LN00000026,245000,241734,current
2024-04-01,LN00000026,245000,218504,current
2024-05-01,LN00000026,245000,221011,dpd_1_29
2024-06-01,LN00000026,245000,219678,current
2024-07-01,LN00000026,245000,240849,current
2024-08-01,LN00000026,245000,237793,current
2024-09-01,LN00000026,245000,222434,current
2024-10-01,LN00000026,245000,244338,current
2024-11-01,LN00000026,245000,221764,current
2024-12-01,LN00000026,245000,223159,current
2025-01-01,LN00000026,245000,220506,current
2025-02-01,LN00000026,245000,232780,current
2025-03-01,LN00000026,245000,230590,current
2025-04-01,LN00000026,245000,226504,current
2024-01-01,LN00000027,2745000,2532504,current
2024-02-01,LN00000027,2745000,2439491,current
2024-03-01,LN00000027,2745000,2669673,current
2024-04-01,LN00000027,2745000,2647218,current
2024-05-01,LN00000027,2745000,2580493,current
2024-06-01,LN00000027,2745000,2514003,current
2024-07-01,LN00000027,2745000,2531137,current
2024-08-01,LN00000027,2745000,2437087,current
2024-09-01,LN00000027,2745000,2665261,current
2024-10-01,LN00000027,2745000,2525202,dpd_1_29
2024-11-01,LN00000027,2745000,2456466,current
2024-12-01,LN00000027,2745000,2481003,current
2025-01-01,LN00000027,2745000,2603901,current
2025-02-01,LN00000027,2745000,2650385,current
2024-01-01,LN00000028,167000,147759,current
2024-02-01,LN00000028,167000,154409,current
2024-03-01,LN00000028,167000,158505,current
2024-04-01,LN00000028,167000,150196,current
2024-05-01,LN00000028,167000,150557,current
2024-06-01,LN00000028,167000,160931,dpd_1_29
2024-07-01,LN00000028,167000,155538,dpd_1_29
2024-08-01,LN00000028,167000,139677,dpd_1_29
2024-09-01,LN00000028,167000,161582,current
2024-10-01,LN00000028,167000,157669,current
2024-11-01,LN00000028,167000,153846,current
2024-12-01,LN00000028,167000,153489,current
2025-01-01,LN00000028,167000,151037,dpd_1_29
2025-02-01,LN00000028,167000,117687,dpd_30_59
2025-03-01,LN00000028,167000,110181,dpd_30_59
2025-04-01,LN00000028,167000,44760,dpd_60_89
2025-05-01,LN00000028,167000,75615,dpd_60_89
2025-06-01,LN00000028,167000,61427,dpd_60_89
2025-07-01,LN00000028,167000,7544,dpd_90_plus
2024-01-01,LN00000029,558000,513498,current
2024-02-01,LN00000029,558000,545116,current
2024-03-01,LN00000029,558000,517709,current
2024-04-01,LN00000029,558000,501345,current
2024-05-01,LN00000029,558000,513911,current
2024-06-01,LN00000029,558000,474790,dpd_1_29
2024-07-01,LN00000029,558000,555973,dpd_1_29
2024-08-01,LN00000029,558000,294876,dpd_30_59
2024-09-01,LN00000029,558000,518181,current
2024-10-01,LN00000029,558000,553280,current
2024-11-01,LN00000029,558000,539396,current
2024-12-01,LN00000029,558000,554277,current
2025-01-01,LN00000029,558000,518738,current
2024-01-01,LN00000030,4371000,4128147,current
2024-02-01,LN00000030,4371000,4056427,current
2024-03-01,LN00000030,4371000,3927953,current
2024-04-01,LN00000030,4371000,4107096,current
2024-05-01,LN00000030,4371000,4186691,current
2024-06-01,LN00000030,4371000,4133407,current
2024-07-01,LN00000030,4371000,4245306,current
2024-08-01,LN00000030,4371000,3987152,dpd_1_29
2024-09-01,LN00000030,4371000,3903543,current
2024-10-01,LN00000030,4371000,4120019,current
2024-11-01,LN00000030,4371000,4185294,current
2024-12-01,LN00000030,4371000,3999797,current
2025-01-01,LN00000030,4371000,4273400,current
2025-02-01,LN00000030,4371000,4232615,current
2025-03-01,LN00000030,4371000,4185883,current
2025-04-01,LN00000030,4371000,3939961,current
2025-05-01,LN00000030,4371000,3971702,current
2024-01-01,LN00000031,2551000,2382382,current
2024-02-01,LN00000031,2551000,2349360,current
2024-03-01,LN00000031,2551000,2536382,current
2024-04-01,LN00000031,2551000,2469513,current
2024-05-01,LN00000031,2551000,2328657,current
2024-06-01,LN00000031,2551000,2264013,current
2024-07-01,LN00000031,2551000,2490040,current
2024-08-01,LN00000031,2551000,2289446,current
2024-09-01,LN00000031,2551000,2383009,current
2024-10-01,LN00000031,2551000,2481709,current
2024-11-01,LN00000031,2551000,2317061,current
2024-12-01,LN00000031,2551000,2409438,current
2025-01-01,LN00000031,2551000,2490481,current
2025-02-01,LN00000031,2551000,2414741,current
2025-03-01,LN00000031,2551000,2409159,current
2025-04-01,LN00000031,2551000,2531656,current
2025-05-01,LN00000031,2551000,2335442,current
2025-06-01,LN00000031,2551000,2473815,current
2025-07-01,LN00000031,2551000,2411992,current
2025-08-01,LN00000031,2551000,2350447,current
2025-09-01,LN00000031,2551000,2348914,current
2025-10-01,LN00000031,2551000,2500387,current
2025-11-01,LN00000031,2551000,2350723,current
2025-12-01,LN00000031,2551000,2287502,current
2024-01-01,LN00000032,5696000,5185054,current
2024-02-01,LN00000032,5696000,5198603,current
2024-03-01,LN00000032,5696000,5323950,current
2024-04-01,LN00000032,5696000,5695562,current
2024-05-01,LN00000032,5696000,4843506,dpd_1_29
2024-06-01,LN00000032,5696000,5403689,current
2024-07-01,LN00000032,5696000,5331677,current
2024-08-01,LN00000032,5696000,5256918,current
2024-09-01,LN00000032,5696000,5637070,current
2024-01-01,LN00000033,713000,702060,current
2024-02-01,LN00000033,713000,707878,current
2024-03-01,LN00000033,713000,668274,current
2024-04-01,LN00000033,713000,642368,current
2024-05-01,LN00000033,713000,640644,current
2024-06-01,LN00000033,713000,667926,current
2024-07-01,LN00000033,713000,654218,current
2024-08-01,LN00000033,713000,705567,current
2024-09-01,LN00000033,713000,634381,current
2024-10-01,LN00000033,713000,628772,current
2024-11-01,LN00000033,713000,630225,current
2024-12-01,LN00000033,713000,671933,current
2025-01-01,LN00000033,713000,633572,current
2025-02-01,LN00000033,713000,688923,current
2025-03-01,LN00000033,713000,708613,current
2025-04-01,LN00000033,713000,667183,current
2025-05-01,LN00000033,713000,637120,current
2025-06-01,LN00000033,713000,647898,current
2025-07-01,LN00000033,713000,671387,current
2025-08-01,LN00000033,713000,691630,current
2025-09-01,LN00000033,713000,670381,current
2025-10-01,LN00000033,713000,705894,current
2025-11-01,LN00000033,713000,666014,current
2025-12-01,LN00000033,713000,706889,current
2024-01-01,LN00000034,5264000,4793192,current
2024-02-01,LN00000034,5264000,5127673,current
2024-03-01,LN00000034,5264000,4909096,current
2024-04-01,LN00000034,5264000,4830667,current
2024-05-01,LN00000034,5264000,4803001,current
2024-06-01,LN00000034,5264000,5097925,current
2024-01-01,LN00000035,614000,563026,current
2024-02-01,LN00000035,614000,545366,current
2024-03-01,LN00000035,614000,601627,dpd_1_29
2024-04-01,LN00000035,614000,568477,current
2024-05-01,LN00000035,614000,554812,current
2024-06-01,LN00000035,614000,575860,current
2024-07-01,LN00000035,614000,606240,current
2024-08-01,LN00000035,614000,604665,current
2024-09-01,LN00000035,614000,587298,dpd_1_29
2024-10-01,LN00000035,614000,556545,dpd_1_29
2024-11-01,LN00000035,614000,551669,current
2024-12-01,LN00000035,614000,562589,current
2025-01-01,LN00000035,614000,554897,current
2025-02-01,LN00000035,614000,581335,current
2025-03-01,LN00000035,614000,552529,current
2025-04-01,LN00000035,614000,543572,current
2025-05-01,LN00000035,614000,585079,current
2025-06-01,LN00000035,614000,547533,current
2025-07-01,LN00000035,614000,605067,current
2025-08-01,LN00000035,614000,598085,current
2025-09-01,LN00000035,614000,589476,current
2024-01-01,LN00000036,11699000,11610594,current
2024-02-01,LN00000036,11699000,10282279,dpd_1_29
2024-03-01,LN00000036,11699000,8186749,dpd_30_59
2024-04-01,LN00000036,11699000,10395773,current
2024-05-01,LN00000036,11699000,11375533,current
2024-06-01,LN00000036,11699000,11558696,dpd_1_29
2024-07-01,LN00000036,11699000,11404447,dpd_1_29
2024-08-01,LN00000036,11699000,7256268,dpd_30_59
2024-09-01,LN00000036,11699000,11335129,current
2024-10-01,LN00000036,11699000,11161802,current
2024-11-01,LN00000036,11699000,10636717,current
2024-01-01,LN00000037,2123000,2090560,current
2024-02-01,LN00000037,2123000,2011267,current
2024-03-01,LN00000037,2123000,1822938,dpd_1_29
2024-04-01,LN00000037,2123000,1852474,dpd_1_29
2024-05-01,LN00000037,2123000,2096585,current
2024-06-01,LN00000037,2123000,2006819,current
2024-01-01,LN00000038,798000,772163,current
2024-02-01,LN00000038,798000,785452,current
2024-03-01,LN00000038,798000,752329,current
2024-04-01,LN00000038,798000,708017,current
2024-05-01,LN00000038,798000,792587,current
2024-06-01,LN00000038,798000,766526,current
2024-07-01,LN00000038,798000,739669,current
2024-08-01,LN00000038,798000,756171,current
2024-09-01,LN00000038,798000,783463,current
2024-10-01,LN00000038,798000,732495,current
2024-11-01,LN00000038,798000,723497,current
2024-12-01,LN00000038,798000,777035,current
2025-01-01,LN00000038,798000,776090,current
2025-02-01,LN00000038,798000,735415,current
2025-03-01,LN00000038,798000,731382,current
2025-04-01,LN00000038,798000,755048,current
2025-05-01,LN00000038,798000,791297,current
2025-06-01,LN00000038,798000,751850,current
2025-07-01,LN00000038,798000,703087,current
2025-08-01,LN00000038,798000,751214,current
2025-09-01,LN00000038,798000,747889,current
2025-10-01,LN00000038,798000,756248,current
2025-11-01,LN00000038,798000,742923,current
2025-12-01,LN00000038,798000,781587,current
2024-01-01,LN00000039,595000,551241,current
2024-02-01,LN00000039,595000,553663,current
2024-03-01,LN00000039,595000,543988,current
2024-04-01,LN00000039,595000,523763,current
2024-05-01,LN00000039,595000,576524,current
2024-06-01,LN00000039,595000,543963,current
2024-07-01,LN00000039,595000,526873,current
2024-08-01,LN00000039,595000,569405,current
2024-09-01,LN00000039,595000,532302,current
2024-10-01,LN00000039,595000,552931,current
2024-11-01,LN00000039,595000,577114,current
2024-12-01,LN00000039,595000,594453,current
2025-01-01,LN00000039,595000,550837,current
2025-02-01,LN00000039,595000,578710,current
2025-03-01,LN00000039,595000,537572,current
2025-04-01,LN00000039,595000,565699,current
2025-05-01,LN00000039,595000,572218,current
2025-06-01,LN00000039,595000,571472,current
2025-07-01,LN00000039,595000,583099,current
2025-08-01,LN00000039,595000,562632,current
2025-09-01,LN00000039,595000,547654,current
2025-10-01,LN00000039,595000,579159,current
2025-11-01,LN00000039,595000,576153,current
2025-12-01,LN00000039,595000,577743,current
2024-01-01,LN00000040,4149000,3675206,current
2024-02-01,LN00000040,4149000,3888554,dpd_1_29
2024-03-01,LN00000040,4149000,4056536,current
2024-04-01,LN00000040,4149000,4087414,current
